"","t","s","cap","date","first","fups","ncl","cl","proc","non_proc","dc","ord","ncl_cost","cl_cost","in_cost","dc_cost","proc_cost"
"1",1,"C_999",1549001.96259043,2025-10-01,1549001.96259043,3477864.20491504,625172.794608438,3439299.84512811,962393.527768923,4064472.63973655,231301.100938526,51756.9050028495,52514514.7471088,495259177.698448,211064658.60162,173938427.905771,142434242.109801
"2",2,"C_999",1557578.14652318,2025-11-01,1557578.14652318,3497119.702219,628634.118096593,3458341.82750389,967721.903141689,4086975.94560049,232581.719577755,52043.4616036894,52805265.9201138,498001223.16056,212233236.419845,174901453.122472,143222841.66497
"3",3,"C_999",1566201.81324331,2025-12-01,1566201.81324331,3516481.80925656,632114.605502937,3477489.23746934,973079.779527601,4109603.84297227,233869.428473332,52331.604750044,53097626.8622467,500758450.195584,213408284.170679,175869810.211946,144015807.370085
"4",4,"C_999",1574873.22564341,2026-01-01,1574873.22564341,3535951.11628179,635614.362930168,3496742.65873345,978467.320261579,4132357.02166362,235164.266881077,52621.3432259603,53391606.4861341,503530942.857617,214589837.675466,176843528.69457,144813163.398714
"5",5,"C_999",1583592.64807157,2026-02-01,1583592.64807157,3555528.21681672,639133.49706843,3516102.678237,983884.689582864,4155236.17530543,236466.274274153,52912.685864119,53687213.7537481,506318785.666128,215777932.953877,177822638.254163,145614934.058264
"6",6,"C_999",1592360.3463395,2026-03-01,1592360.3463395,3575213.7076695,642672.115198567,3535569.8861704,989332.052640021,4178242.00136897,237775.490344271,53205.6415461038,53984457.6766796,509122063.608538,216972606.225011,178807168.738892,146421143.790723
"7",7,"C_999",1601176.58773056,2026-04-01,1601176.58773056,3595008.18895252,646230.325195393,3555144.87599171,994809.575495975,4201375.2011871,239091.955002897,53500.219202672,54283347.316413,511940862.142806,218173893.908496,179797150.162178,147231817.173404
"8",8,"C_999",1610041.64100797,2026-05-01,1610041.64100797,3614912.26410078,649808.235530979,3574828.2444447,1000317.42513307,4224636.47997568,240415.708382471,53796.4278140266,54583891.7846023,514775267.200037,219381832.625601,180792612.703618,148046978.919694
"9",9,"C_999",1618955.776423,2026-06-01,1618955.776423,3634926.53989022,653405.955277964,3594620.59157709,1005855.76945817,4248026.54685506,241746.790837629,54094.2764100907,54886100.243349,517625365.187101,220596459.20035,181793586.709897,148866653.879809
"10",10,"C_999",1627919.26572315,2026-07-01,1627919.26572315,3655051.62645628,657023.594112873,3614522.52075881,1011424.77730775,4271546.11487168,243085.242946436,54393.7740707819,55189981.9054813,520491242.989268,221817810.660648,182800102.69572,149690867.041547
"11",11,"C_999",1636932.3821605,2026-08-01,1636932.3821605,3675288.13731245,660661.262319468,3634534.63870039,1017024.6184531,4295195.90101985,244431.105511619,54694.9299262898,55495546.0348353,523372987.972856,223045924.23941,183812191.344738,150519643.531058
"12",12,"C_999",1645995.4005,2026-09-01,1645995.4005,3695636.68936899,664319.070792105,3654657.55547146,1022655.46360542,4318976.62626357,245784.419561814,54997.7531573542,55802801.9465368,526270687.987891,224280837.375691,184829883.510484,151353008.613602
"13",13,"C_999",1655108.59702787,2026-10-01,1655108.59702787,3716097.90295173,667997.131039116,3674891.88451939,1028317.48442109,4342889.01555851,247145.226352815,55302.2529955447,56111759.0072858,529184431.370792,225522587.715831,185853210.217317,152190987.694322
"14",14,"C_999",1664272.24956002,2026-11-01,1664272.24956002,3736672.401821,671695.55518621,3695238.24268791,1034010.8535069,4366933.79787412,248513.567368831,55608.4387235421,56422426.6356416,532114306.947059,226771213.114605,186882202.661361,153033606.319021
"15",15,"C_999",1673486.63745048,2026-12-01,1673486.63745048,3757360.81319064,675414.455979889,3715697.25023599,1039735.74442524,4391111.70621588,249889.484323756,55916.319675422,56734814.3023106,535060404.033982,228026751.636371,187916892.211464,153880890.174936
"16",16,"C_999",1682752.04159998,2027-01-01,1682752.04159998,3778163.76774709,679153.946790885,3736269.53085669,1045492.3316995,4415423.47764758,251273.019162431,56225.9052369386,57048931.5304343,538022812.443364,229289241.556236,188957310.410148,154732865.091526
"17",17,"C_999",1692068.74446448,2027-02-01,1692068.74446448,3799081.89966867,682914.141617617,3756955.71169624,1051280.79081929,4439869.85331386,252664.214061933,56537.2048458112,57364787.8958799,541001622.484258,230558721.361218,190003488.974574,155589557.041255
"18",18,"C_999",1701437.03006375,2027-03-01,1701437.03006375,3820115.84664486,686695.155089669,3777756.42337308,1057101.29824586,4464451.57846275,254063.111432854,56850.227992012,57682393.0275322,543996924.965723,231835229.751425,191055459.797506,156450992.140388
"19",19,"C_999",1710857.1839901,2027-04-01,1710857.1839901,3841266.24989577,690497.102471277,3798672.29999714,1062954.03141745,4489169.40246842,255469.753920595,57164.984218055,58001756.6075873,547008811.199588,233118805.641228,192113254.948288,157317196.649783
"20",20,"C_999",1720329.49341702,2027-05-01,1720329.49341702,3862533.75419168,694320.099664852,3819703.97918916,1068839.16875469,4514024.07885402,256884.18440667,57481.4831192875,58322888.3718475,550037373.00324,234409488.160454,193176906.673816,158188196.975694
"21",21,"C_999",1729854.24710798,2027-06-01,1729854.24710798,3883919.00787271,698164.263214505,3840852.10210013,1074756.88966605,4539016.36531463,258306.446010007,57799.7343441819,58645798.1100184,553082702.702418,235707316.655574,194246447.399525,159064019.670576
"22",22,"C_999",1739431.73542519,2027-07-01,1739431.73542519,3905422.66286854,702029.710309605,3862117.31343079,1080707.37455333,4564147.0237404,259736.582088267,58119.7475946305,58970495.6660068,556144893.134034,237012330.690903,195321909.730377,159944691.433894
"23",23,"C_999",1749062.25033849,2027-08-01,1749062.25033849,3927045.37471836,705916.558788352,3883500.26145136,1086690.80481713,4589416.82023972,261174.636239165,58441.5326262407,59296990.9382215,559224037.648996,238324570.04981,196403326.451852,160830239.112936
"24",24,"C_999",1758746.08543425,2027-09-01,1758746.08543425,3948787.80259076,709824.927141364,3905001.59802126,1092707.36286239,4614826.52516263,262620.652301799,58765.099248633,59625293.8798746,562320230.115062,239644074.735925,197490730.530953,161720689.703634
"25",25,"C_999",1768483.53592428,2027-10-01,1768483.53592428,3970650.60930392,713754.934515296,3926621.97860897,1098757.23210394,4640376.91312427,264074.674357983,59090.4573257395,59955414.4992848,565433564.919692,240970884.974366,198584155.117203,162616070.351383
"26",26,"C_999",1778274.89865488,2027-11-01,1778274.89865488,3992634.46134574,717706.700716466,3948362.06231203,1104840.59697212,4666068.7630285,265536.746733596,59417.6167761048,60287362.8601831,568564136.972933,242305041.212955,199683633.543665,163516408.351874
"27",27,"C_999",1788120.47211584,2027-12-01,1788120.47211584,4014740.0288942,721680.346214511,3970222.51187715,1110957.64291837,4691902.85809167,267006.913999933,59746.5875731884,60621149.082019,571712041.71031,243646584.123462,200789199.32795,164421731.151919
"28",28,"C_999",1798020.55644958,2028-01-01,1798020.55644958,4036967.98583777,725675.992146061,3992203.99372038,1117108.55642091,4717879.98586644,268485.220975058,60077.3797456689,60956783.3402691,574877375.095734,244995554.602838,201900886.173243,165332066.350295
"29",29,"C_999",1807975.45346029,2028-02-01,1807975.45346029,4059319.00979597,729693.760318425,4014307.17794743,1123293.52499041,4744000.93826586,269971.712725175,60410.0033777493,61294275.8667477,578060233.62443,246351993.774462,203018727.969332,166247441.698581
"30",30,"C_999",1817985.46662312,2028-03-01,1817985.46662312,4081793.78214003,733733.773213312,4036532.73837413,1129512.73717571,4770266.51158745,271466.434566004,60744.4686094648,61633636.9499182,581260714.325875,247715942.989398,204142758.793635,167167885.102004
"31",31,"C_999",1828050.90109342,2028-04-01,1828050.90109342,4104392.98801363,737796.15399056,4058881.35254695,1135766.38256955,4796677.50653751,272969.432064156,61080.7856369918,61974876.935207,584478914.76676,249087443.827653,205273012.912245,168093424.620293
"32",32,"C_999",1838172.06371609,2028-05-01,1838172.06371609,4127117.31635381,741881.026491894,4081353.70176362,1142054.65181438,4823234.72825552,274480.751038527,61418.9647129587,62318006.2253191,587714933.053962,250466538.099446,206409524.780972,169024088.468529
"33",33,"C_999",1848349.26303487,2028-06-01,1848349.26303487,4149967.45991199,745988.515244698,4103950.47109399,1148377.73660818,4849938.98633868,276000.437561692,61759.0161467584,62663035.2805547,590968867.837534,251853267.846481,207552329.046393,169959905.01801
"34",34,"C_999",1858582.80930181,2028-07-01,1858582.80930181,4172944.11527504,750118.745465813,4126672.3494008,1154735.82971024,4876791.09486661,277528.537961314,62100.9503048627,63009974.6191283,594240818.313715,253247675.34323,208701460.546908,170900902.797115
"35",35,"C_999",1868873.01448668,2028-08-01,1868873.01448668,4196047.98288657,754271.843065354,4149520.02936078,1161129.12494711,4903791.87242614,279065.098821548,62444.7776111383,63358834.8174898,597530884.227953,254649803.098222,209856954.313804,171847110.492172
"36",36,"C_999",1879220.1922865,2028-09-01,1879220.1922865,4219279.76706823,758447.934650548,4172494.20748572,1167557.81721846,4930942.14213627,280610.166984472,62790.5085471644,63709626.510646,600839165.877944,256059693.855337,211018845.572323,172798556.948333
"37",37,"C_999",1889624.6581351,2028-10-01,1889624.6581351,4242640.17604124,762647.147529594,4195595.58414369,1174022.10250306,4958242.73167328,282163.789551505,63138.1536525527,64062360.3924859,604165764.116691,257477390.59511,212187169.742732,173755271.170453
"38",38,"C_999",1900086.72921274,2028-11-01,1900086.72921274,4266129.92194792,766869.609715544,4218824.86358041,1180522.17786471,4985694.47329595,283726.013884848,63487.723525268,64417047.2161057,607510780.355579,258902936.536043,213361962.441406,174717282.323977
"39",39,"C_999",1910606.72445577,2028-12-01,1910606.72445577,4289749.72087345,771115.449930206,4242182.75394074,1187058.24145828,5013298.20387095,285296.887608928,63839.2288219519,64773697.7941373,610874316.567466,260336375.13592,214543259.481914,175684619.735826
"40",40,"C_999",1921184.96456638,2029-01-01,1921184.96456638,4313500.29286766,775384.797608066,4265669.96729023,1193630.49253575,5041054.76489829,286876.458611849,64192.6802582473,65132322.9990776,614256475.289793,261777750.093132,215731096.876111,176657312.895291
"41",41,"C_999",1931821.77202233,2029-02-01,1931821.77202233,4337382.361967,779677.782900237,4289287.21963683,1200239.13145226,5068965.00253707,288464.77504685,64548.0886091252,65492933.7636199,617657359.627704,263227105.348012,216925510.835231,177635391.454934
"42",42,"C_999",1942517.4710868,2029-03-01,1942517.4710868,4361396.65621663,783994.536678424,4313035.23095276,1206884.35967224,5097029.76763119,290061.885333776,64905.4647092132,65855541.0809876,621077073.257198,264684485.084171,218126537.770999,178618885.231492
"43",43,"C_999",1953272.38781832,2029-04-01,1953272.38781832,4385543.90769256,788335.190538914,4336914.72519641,1213566.37977556,5125249.91573533,291667.838160551,65264.8194531258,66220156.0052688,624515720.428284,266149933.729847,219334214.296734,179607824.206783
"44",44,"C_999",1964086.85008064,2029-05-01,1964086.85008064,4409824.85252405,792699.876806589,4360926.43033443,1220285.39546367,5153626.30714102,293282.682484666,65626.1637957964,66586789.6517535,627973405.968158,267623495.959258,220548577.228469,180602238.528623
