"","i","t","s","date","open","completed","new"
"1",0,0,"C_999",2023-04-01,974710,324250,0
"2",0,1,"C_999",2023-05-01,1064852,376461,0
"3",0,2,"C_999",2023-06-01,1091577,406544,0
"4",0,3,"C_999",2023-07-01,1072983,388922,0
"5",0,4,"C_999",2023-08-01,968731,380561,0
"6",0,5,"C_999",2023-09-01,1026556,365309,0
"7",0,6,"C_999",2023-10-01,1060120,382121,0
"8",0,7,"C_999",2023-11-01,1072140,395130,0
"9",0,8,"C_999",2023-12-01,813975,328842,0
"10",0,9,"C_999",2024-01-01,1104645,368312,0
"11",0,10,"C_999",2024-02-01,1088400,384867,0
"12",0,11,"C_999",2024-03-01,985583,371468,0
"13",0,12,"C_999",2024-04-01,1113934,361873,0
"14",0,13,"C_999",2024-05-01,1053570,387451,0
"15",0,14,"C_999",2024-06-01,1047875,366197,0
"16",0,15,"C_999",2024-07-01,1049446,407904,0
"17",0,16,"C_999",2024-08-01,925375,358047,0
"18",0,17,"C_999",2024-09-01,1058497,368564,0
"19",0,18,"C_999",2024-10-01,1076975,422744,0
"20",0,19,"C_999",2024-11-01,1049606,388145,0
"21",0,20,"C_999",2024-12-01,865661,351360,0
"22",0,21,"C_999",2025-01-01,1114229,372851,0
"23",0,22,"C_999",2025-02-01,1098866,384831,0
"24",0,23,"C_999",2025-03-01,1119784,400606,0
"25",0,24,"C_999",2025-04-01,994722,377910,0
"26",0,25,"C_999",2025-05-01,1050845,382437,0
"27",0,26,"C_999",2025-06-01,1150751,403974,0
"28",0,27,"C_999",2025-07-01,1097725,432425,0
"29",0,28,"C_999",2025-08-01,952739,357309,0
"30",0,29,"C_999",2025-09-01,1103405,392237,0
"31",1,0,"C_999",2023-04-01,1148259,225177,0
"32",1,1,"C_999",2023-05-01,1092569,238586,0
"33",1,2,"C_999",2023-06-01,1167816,255957,0
"34",1,3,"C_999",2023-07-01,1197072,249481,0
"35",1,4,"C_999",2023-08-01,1170678,252470,0
"36",1,5,"C_999",2023-09-01,1079537,238897,0
"37",1,6,"C_999",2023-10-01,1157456,253610,0
"38",1,7,"C_999",2023-11-01,1140465,270251,0
"39",1,8,"C_999",2023-12-01,1187965,212451,0
"40",1,9,"C_999",2024-01-01,894311,253723,0
"41",1,10,"C_999",2024-02-01,1189492,227835,0
"42",1,11,"C_999",2024-03-01,1190204,248885,0
"43",1,12,"C_999",2024-04-01,1068580,262927,0
"44",1,13,"C_999",2024-05-01,1186227,253217,0
"45",1,14,"C_999",2024-06-01,1168591,251109,0
"46",1,15,"C_999",2024-07-01,1176839,276334,0
"47",1,16,"C_999",2024-08-01,1158200,241536,0
"48",1,17,"C_999",2024-09-01,1069810,245460,0
"49",1,18,"C_999",2024-10-01,1169625,272317,0
"50",1,19,"C_999",2024-11-01,1163352,267017,0
"51",1,20,"C_999",2024-12-01,1203255,234904,0
"52",1,21,"C_999",2025-01-01,901842,267056,0
"53",1,22,"C_999",2025-02-01,1205185,229415,0
"54",1,23,"C_999",2025-03-01,1198752,275021,0
"55",1,24,"C_999",2025-04-01,1227074,273728,0
"56",1,25,"C_999",2025-05-01,1066857,268690,0
"57",1,26,"C_999",2025-06-01,1172323,275116,0
"58",1,27,"C_999",2025-07-01,1202145,298796,0
"59",1,28,"C_999",2025-08-01,1189322,263045,0
"60",1,29,"C_999",2025-09-01,1085731,275345,0
"61",2,0,"C_999",2023-04-01,996095,140900,0
"62",2,1,"C_999",2023-05-01,909772,170364,0
"63",2,2,"C_999",2023-06-01,919892,157444,0
"64",2,3,"C_999",2023-07-01,976923,151834,0
"65",2,4,"C_999",2023-08-01,1012698,158448,0
"66",2,5,"C_999",2023-09-01,980433,160059,0
"67",2,6,"C_999",2023-10-01,904559,156420,0
"68",2,7,"C_999",2023-11-01,958842,166724,0
"69",2,8,"C_999",2023-12-01,979677,129661,0
"70",2,9,"C_999",2024-01-01,973084,175645,0
"71",2,10,"C_999",2024-02-01,736099,136828,0
"72",2,11,"C_999",2024-03-01,1002448,135522,0
"73",2,12,"C_999",2024-04-01,988987,166690,0
"74",2,13,"C_999",2024-05-01,886150,159782,0
"75",2,14,"C_999",2024-06-01,993178,152050,0
"76",2,15,"C_999",2024-07-01,966579,168063,0
"77",2,16,"C_999",2024-08-01,1001198,148433,0
"78",2,17,"C_999",2024-09-01,953552,160682,0
"79",2,18,"C_999",2024-10-01,889831,165481,0
"80",2,19,"C_999",2024-11-01,975054,157621,0
"81",2,20,"C_999",2024-12-01,985463,139044,0
"82",2,21,"C_999",2025-01-01,993453,182425,0
"83",2,22,"C_999",2025-02-01,739540,140472,0
"84",2,23,"C_999",2025-03-01,992097,145333,0
"85",2,24,"C_999",2025-04-01,995415,161750,0
"86",2,25,"C_999",2025-05-01,1012148,172496,0
"87",2,26,"C_999",2025-06-01,860327,163027,0
"88",2,27,"C_999",2025-07-01,950197,170686,0
"89",2,28,"C_999",2025-08-01,1008442,151379,0
"90",2,29,"C_999",2025-09-01,964176,178644,0
"91",3,0,"C_999",2023-04-01,837208,93971,0
"92",3,1,"C_999",2023-05-01,848930,124258,0
"93",3,2,"C_999",2023-06-01,763905,126142,0
"94",3,3,"C_999",2023-07-01,789082,104476,0
"95",3,4,"C_999",2023-08-01,840279,108885,0
"96",3,5,"C_999",2023-09-01,860882,117249,0
"97",3,6,"C_999",2023-10-01,823787,123813,0
"98",3,7,"C_999",2023-11-01,753962,122777,0
"99",3,8,"C_999",2023-12-01,836939,93971,0
"100",3,9,"C_999",2024-01-01,821808,127884,0
"101",3,10,"C_999",2024-02-01,809267,120308,0
"102",3,11,"C_999",2024-03-01,628116,96769,0
"103",3,12,"C_999",2024-04-01,837988,112526,0
"104",3,13,"C_999",2024-05-01,842830,123898,0
"105",3,14,"C_999",2024-06-01,742493,112210,0
"106",3,15,"C_999",2024-07-01,840313,121130,0
"107",3,16,"C_999",2024-08-01,834502,108826,0
"108",3,17,"C_999",2024-09-01,834883,120993,0
"109",3,18,"C_999",2024-10-01,788057,129442,0
"110",3,19,"C_999",2024-11-01,747044,113894,0
"111",3,20,"C_999",2024-12-01,841047,98390,0
"112",3,21,"C_999",2025-01-01,828008,130853,0
"113",3,22,"C_999",2025-02-01,825467,117192,0
"114",3,23,"C_999",2025-03-01,615326,105994,0
"115",3,24,"C_999",2025-04-01,833221,103304,0
"116",3,25,"C_999",2025-05-01,833530,121479,0
"117",3,26,"C_999",2025-06-01,831753,128298,0
"118",3,27,"C_999",2025-07-01,714250,118709,0
"119",3,28,"C_999",2025-08-01,813717,105473,0
"120",3,29,"C_999",2025-09-01,834454,130370,0
"121",4,0,"C_999",2023-04-01,515262,62914,0
"122",4,1,"C_999",2023-05-01,702914,90882,0
"123",4,2,"C_999",2023-06-01,713856,101364,0
"124",4,3,"C_999",2023-07-01,643219,90872,0
"125",4,4,"C_999",2023-08-01,686595,83297,0
"126",4,5,"C_999",2023-09-01,706143,91526,0
"127",4,6,"C_999",2023-10-01,715375,101017,0
"128",4,7,"C_999",2023-11-01,680939,105845,0
"129",4,8,"C_999",2023-12-01,654269,74504,0
"130",4,9,"C_999",2024-01-01,701686,100426,0
"131",4,10,"C_999",2024-02-01,683220,94250,0
"132",4,11,"C_999",2024-03-01,681858,90060,0
"133",4,12,"C_999",2024-04-01,523494,78394,0
"134",4,13,"C_999",2024-05-01,698577,89273,0
"135",4,14,"C_999",2024-06-01,713139,91800,0
"136",4,15,"C_999",2024-07-01,627096,94584,0
"137",4,16,"C_999",2024-08-01,724150,84817,0
"138",4,17,"C_999",2024-09-01,691663,95874,0
"139",4,18,"C_999",2024-10-01,694390,106740,0
"140",4,19,"C_999",2024-11-01,662727,95697,0
"141",4,20,"C_999",2024-12-01,640736,75022,0
"142",4,21,"C_999",2025-01-01,708743,100917,0
"143",4,22,"C_999",2025-02-01,685418,91658,0
"144",4,23,"C_999",2025-03-01,681520,95285,0
"145",4,24,"C_999",2025-04-01,514613,75456,0
"146",4,25,"C_999",2025-05-01,697381,84022,0
"147",4,26,"C_999",2025-06-01,680394,96788,0
"148",4,27,"C_999",2025-07-01,677728,101143,0
"149",4,28,"C_999",2025-08-01,636772,76195,0
"150",4,29,"C_999",2025-09-01,666845,100223,0
"151",5,0,"C_999",2023-04-01,539015,62265,0
"152",5,1,"C_999",2023-05-01,432176,60748,0
"153",5,2,"C_999",2023-06-01,578180,73472,0
"154",5,3,"C_999",2023-07-01,596636,71150,0
"155",5,4,"C_999",2023-08-01,547510,69182,0
"156",5,5,"C_999",2023-09-01,576071,68285,0
"157",5,6,"C_999",2023-10-01,580858,76749,0
"158",5,7,"C_999",2023-11-01,585272,85128,0
"159",5,8,"C_999",2023-12-01,586095,62207,0
"160",5,9,"C_999",2024-01-01,546273,74909,0
"161",5,10,"C_999",2024-02-01,579299,73549,0
"162",5,11,"C_999",2024-03-01,574574,70762,0
"163",5,12,"C_999",2024-04-01,565990,73900,0
"164",5,13,"C_999",2024-05-01,448885,62009,0
"165",5,14,"C_999",2024-06-01,587854,68737,0
"166",5,15,"C_999",2024-07-01,595118,78200,0
"167",5,16,"C_999",2024-08-01,542568,63355,0
"168",5,17,"C_999",2024-09-01,600648,74749,0
"169",5,18,"C_999",2024-10-01,569381,81931,0
"170",5,19,"C_999",2024-11-01,568891,78464,0
"171",5,20,"C_999",2024-12-01,562074,62563,0
"172",5,21,"C_999",2025-01-01,539179,72592,0
"173",5,22,"C_999",2025-02-01,585165,71822,0
"174",5,23,"C_999",2025-03-01,565788,75746,0
"175",5,24,"C_999",2025-04-01,563049,69848,0
"176",5,25,"C_999",2025-05-01,429920,59725,0
"177",5,26,"C_999",2025-06-01,568568,70942,0
"178",5,27,"C_999",2025-07-01,562968,77262,0
"179",5,28,"C_999",2025-08-01,539977,65894,0
"180",5,29,"C_999",2025-09-01,540988,72895,0
"181",6,0,"C_999",2023-04-01,480143,51959,0
"182",6,1,"C_999",2023-05-01,450412,63063,0
"183",6,2,"C_999",2023-06-01,371019,50663,0
"184",6,3,"C_999",2023-07-01,489646,58269,0
"185",6,4,"C_999",2023-08-01,519487,59245,0
"186",6,5,"C_999",2023-09-01,466421,59914,0
"187",6,6,"C_999",2023-10-01,483830,63005,0
"188",6,7,"C_999",2023-11-01,482894,70436,0
"189",6,8,"C_999",2023-12-01,510313,53134,0
"190",6,9,"C_999",2024-01-01,492014,67938,0
"191",6,10,"C_999",2024-02-01,458675,59249,0
"192",6,11,"C_999",2024-03-01,495571,59325,0
"193",6,12,"C_999",2024-04-01,486904,62503,0
"194",6,13,"C_999",2024-05-01,479861,64534,0
"195",6,14,"C_999",2024-06-01,387921,48118,0
"196",6,15,"C_999",2024-07-01,499237,64492,0
"197",6,16,"C_999",2024-08-01,517980,57579,0
"198",6,17,"C_999",2024-09-01,457757,59827,0
"199",6,18,"C_999",2024-10-01,506528,69918,0
"200",6,19,"C_999",2024-11-01,480099,63711,0
"201",6,20,"C_999",2024-12-01,490120,54900,0
"202",6,21,"C_999",2025-01-01,474283,66924,0
"203",6,22,"C_999",2025-02-01,449011,57074,0
"204",6,23,"C_999",2025-03-01,491696,64579,0
"205",6,24,"C_999",2025-04-01,480242,60706,0
"206",6,25,"C_999",2025-05-01,474795,62731,0
"207",6,26,"C_999",2025-06-01,357493,53082,0
"208",6,27,"C_999",2025-07-01,469357,63487,0
"209",6,28,"C_999",2025-08-01,485943,55395,0
"210",6,29,"C_999",2025-09-01,426101,67653,0
"211",7,0,"C_999",2023-04-01,407246,40950,0
"212",7,1,"C_999",2023-05-01,411961,52942,0
"213",7,2,"C_999",2023-06-01,377795,54354,0
"214",7,3,"C_999",2023-07-01,327625,38561,0
"215",7,4,"C_999",2023-08-01,425737,48093,0
"216",7,5,"C_999",2023-09-01,447386,54327,0
"217",7,6,"C_999",2023-10-01,392398,56522,0
"218",7,7,"C_999",2023-11-01,408746,58068,0
"219",7,8,"C_999",2023-12-01,424549,45583,0
"220",7,9,"C_999",2024-01-01,434333,60355,0
"221",7,10,"C_999",2024-02-01,416347,54680,0
"222",7,11,"C_999",2024-03-01,397522,48439,0
"223",7,12,"C_999",2024-04-01,419877,54448,0
"224",7,13,"C_999",2024-05-01,421544,54180,0
"225",7,14,"C_999",2024-06-01,405944,51838,0
"226",7,15,"C_999",2024-07-01,370120,45721,0
"227",7,16,"C_999",2024-08-01,434561,48481,0
"228",7,17,"C_999",2024-09-01,436638,56484,0
"229",7,18,"C_999",2024-10-01,389348,56947,0
"230",7,19,"C_999",2024-11-01,426502,58264,0
"231",7,20,"C_999",2024-12-01,431962,46728,0
"232",7,21,"C_999",2025-01-01,416743,58154,0
"233",7,22,"C_999",2025-02-01,398364,51861,0
"234",7,23,"C_999",2025-03-01,384855,49661,0
"235",7,24,"C_999",2025-04-01,418461,49389,0
"236",7,25,"C_999",2025-05-01,406300,52210,0
"237",7,26,"C_999",2025-06-01,392533,54687,0
"238",7,27,"C_999",2025-07-01,328065,44950,0
"239",7,28,"C_999",2025-08-01,400216,46279,0
"240",7,29,"C_999",2025-09-01,406302,58055,0
"241",8,0,"C_999",2023-04-01,298511,32520,0
"242",8,1,"C_999",2023-05-01,346878,43497,0
"243",8,2,"C_999",2023-06-01,353669,46597,0
"244",8,3,"C_999",2023-07-01,313041,41763,0
"245",8,4,"C_999",2023-08-01,320154,32539,0
"246",8,5,"C_999",2023-09-01,366722,44748,0
"247",8,6,"C_999",2023-10-01,374081,50857,0
"248",8,7,"C_999",2023-11-01,329379,52384,0
"249",8,8,"C_999",2023-12-01,360246,36782,0
"250",8,9,"C_999",2024-01-01,378230,51440,0
"251",8,10,"C_999",2024-02-01,364939,49431,0
"252",8,11,"C_999",2024-03-01,354845,45932,0
"253",8,12,"C_999",2024-04-01,354058,44441,0
"254",8,13,"C_999",2024-05-01,358972,47597,0
"255",8,14,"C_999",2024-06-01,360989,44704,0
"256",8,15,"C_999",2024-07-01,306687,48232,0
"257",8,16,"C_999",2024-08-01,338146,34205,0
"258",8,17,"C_999",2024-09-01,367531,48780,0
"259",8,18,"C_999",2024-10-01,368217,54989,0
"260",8,19,"C_999",2024-11-01,344891,47449,0
"261",8,20,"C_999",2024-12-01,349485,42505,0
"262",8,21,"C_999",2025-01-01,370124,51987,0
"263",8,22,"C_999",2025-02-01,350462,47880,0
"264",8,23,"C_999",2025-03-01,330680,47482,0
"265",8,24,"C_999",2025-04-01,340475,40143,0
"266",8,25,"C_999",2025-05-01,353594,46744,0
"267",8,26,"C_999",2025-06-01,337525,48508,0
"268",8,27,"C_999",2025-07-01,300863,48817,0
"269",8,28,"C_999",2025-08-01,301002,32381,0
"270",8,29,"C_999",2025-09-01,334156,50293,0
"271",9,0,"C_999",2023-04-01,266147,29568,0
"272",9,1,"C_999",2023-05-01,266050,34039,0
"273",9,2,"C_999",2023-06-01,291379,39284,0
"274",9,3,"C_999",2023-07-01,300025,37282,0
"275",9,4,"C_999",2023-08-01,236653,34475,0
"276",9,5,"C_999",2023-09-01,276894,30375,0
"277",9,6,"C_999",2023-10-01,301763,44305,0
"278",9,7,"C_999",2023-11-01,308380,49802,0
"279",9,8,"C_999",2023-12-01,287645,33727,0
"280",9,9,"C_999",2024-01-01,298348,43463,0
"281",9,10,"C_999",2024-02-01,312703,43102,0
"282",9,11,"C_999",2024-03-01,308101,41032,0
"283",9,12,"C_999",2024-04-01,281274,42147,0
"284",9,13,"C_999",2024-05-01,303547,39768,0
"285",9,14,"C_999",2024-06-01,302350,40576,0
"286",9,15,"C_999",2024-07-01,302862,44538,0
"287",9,16,"C_999",2024-08-01,251728,37597,0
"288",9,17,"C_999",2024-09-01,284060,34709,0
"289",9,18,"C_999",2024-10-01,303484,49376,0
"290",9,19,"C_999",2024-11-01,289880,47331,0
"291",9,20,"C_999",2024-12-01,309695,34796,0
"292",9,21,"C_999",2025-01-01,287876,46984,0
"293",9,22,"C_999",2025-02-01,305357,42294,0
"294",9,23,"C_999",2025-03-01,291211,45334,0
"295",9,24,"C_999",2025-04-01,263837,38796,0
"296",9,25,"C_999",2025-05-01,284414,38643,0
"297",9,26,"C_999",2025-06-01,289727,43093,0
"298",9,27,"C_999",2025-07-01,280150,44089,0
"299",9,28,"C_999",2025-08-01,240397,36395,0
"300",9,29,"C_999",2025-09-01,254022,35881,0
"301",10,0,"C_999",2023-04-01,229783,26742,0
"302",10,1,"C_999",2023-05-01,211828,31982,0
"303",10,2,"C_999",2023-06-01,223159,31082,0
"304",10,3,"C_999",2023-07-01,242778,31825,0
"305",10,4,"C_999",2023-08-01,253299,32506,0
"306",10,5,"C_999",2023-09-01,186886,33284,0
