"","t","i","a","s","open","completed","carried"
"1",0,0,NA,"C_999",974710,324250,NA
"2",1,0,NA,"C_999",1064852,376461,NA
"3",2,0,NA,"C_999",1091577,406544,NA
"4",3,0,NA,"C_999",1072983,388922,NA
"5",4,0,NA,"C_999",968731,380561,NA
"6",5,0,NA,"C_999",1026556,365309,NA
"7",6,0,NA,"C_999",1060120,382121,NA
"8",7,0,NA,"C_999",1072140,395130,NA
"9",8,0,NA,"C_999",813975,328842,NA
"10",9,0,NA,"C_999",1104645,368312,NA
"11",10,0,NA,"C_999",1088400,384867,NA
"12",11,0,NA,"C_999",985583,371468,NA
"13",12,0,NA,"C_999",1113934,361873,NA
"14",13,0,NA,"C_999",1053570,387451,NA
"15",14,0,NA,"C_999",1047875,366197,NA
"16",15,0,NA,"C_999",1049446,407904,NA
"17",16,0,NA,"C_999",925375,358047,NA
"18",17,0,NA,"C_999",1058497,368564,NA
"19",18,0,NA,"C_999",1076975,422744,NA
"20",19,0,NA,"C_999",1049606,388145,NA
"21",20,0,NA,"C_999",865661,351360,NA
"22",21,0,NA,"C_999",1114229,372851,NA
"23",22,0,NA,"C_999",1098866,384831,NA
"24",23,0,NA,"C_999",1119784,400606,NA
"25",24,0,NA,"C_999",994722,377910,NA
"26",25,0,NA,"C_999",1050845,382437,NA
"27",26,0,NA,"C_999",1150751,403974,NA
"28",27,0,NA,"C_999",1097725,432425,NA
"29",28,0,NA,"C_999",952739,357309,NA
"30",29,0,NA,"C_999",1103405,392237,NA
"31",0,1,NA,"C_999",1148259,225177,NA
"32",1,1,1,"C_999",1092569,238586,736124
"33",2,1,1,"C_999",1167816,255957,808895
"34",3,1,1,"C_999",1197072,249481,842096
"35",4,1,1,"C_999",1170678,252470,820513
"36",5,1,1,"C_999",1079537,238897,729834
"37",6,1,1,"C_999",1157456,253610,772946
"38",7,1,1,"C_999",1140465,270251,789869
"39",8,1,1,"C_999",1187965,212451,859689
"40",9,1,1,"C_999",894311,253723,560252
"41",10,1,1,"C_999",1189492,227835,876810
"42",11,1,1,"C_999",1190204,248885,839515
"43",12,1,1,"C_999",1068580,262927,722656
"44",13,1,1,"C_999",1186227,253217,860717
"45",14,1,1,"C_999",1168591,251109,802461
"46",15,1,1,"C_999",1176839,276334,771541
"47",16,1,1,"C_999",1158200,241536,807910
"48",17,1,1,"C_999",1069810,245460,679915
"49",18,1,1,"C_999",1169625,272317,786180
"50",19,1,1,"C_999",1163352,267017,809958
"51",20,1,1,"C_999",1203255,234904,814702
"52",21,1,1,"C_999",901842,267056,598605
"53",22,1,1,"C_999",1205185,229415,884814
"54",23,1,1,"C_999",1198752,275021,823845
"55",24,1,1,"C_999",1227074,273728,846056
"56",25,1,1,"C_999",1066857,268690,726032
"57",26,1,1,"C_999",1172323,275116,775729
"58",27,1,1,"C_999",1202145,298796,851955
"59",28,1,1,"C_999",1189322,263045,834680
"60",29,1,1,"C_999",1085731,275345,677394
"61",0,2,NA,"C_999",996095,140900,NA
"62",1,2,0.930337101631566,"C_999",909772,170364,977895
"63",2,2,0.983710199171234,"C_999",919892,157444,935125
"64",3,2,0.961555421257463,"C_999",976923,151834,1015982
"65",4,2,0.975038127368518,"C_999",1012698,158448,1038624
"66",5,2,0.970131177031107,"C_999",980433,160059,1010619
"67",6,2,0.97989637283248,"C_999",904559,156420,923117
"68",7,2,0.967811678637613,"C_999",958842,166724,990732
"69",8,2,0.969205701599914,"C_999",979677,129661,1010804
"70",9,2,0.961241504662557,"C_999",973084,175645,1012320
"71",10,2,0.971769663477596,"C_999",736099,136828,757483
"72",11,2,0.951116255680902,"C_999",1002448,135522,1053970
"73",12,2,0.966266216192451,"C_999",988987,166690,1023514
"74",13,2,0.975079170508738,"C_999",886150,159782,908798
"75",14,2,0.960355915863532,"C_999",993178,152050,1034177
"76",15,2,0.966068915612557,"C_999",966579,168063,1000528
"77",16,2,0.973543522694344,"C_999",1001198,148433,1028406
"78",17,2,0.955924604869286,"C_999",953552,160682,997518
"79",18,2,0.983968223953893,"C_999",889831,165481,904329
"80",19,2,0.963488286607563,"C_999",975054,157621,1012004
"81",20,2,0.962076836264092,"C_999",985463,139044,1024308
"82",21,2,0.973181626715516,"C_999",993453,182425,1020830
"83",22,2,0.97132800084059,"C_999",739540,140472,761370
"84",23,2,0.936071262780086,"C_999",992097,145333,1059852
"85",24,2,0.959896895087956,"C_999",995415,161750,1037002
"86",25,2,0.959765896880079,"C_999",1012148,172496,1054578
"87",26,2,0.951868161047985,"C_999",860327,163027,903830
"88",27,2,0.94864406965797,"C_999",950197,170686,1001637
"89",28,2,0.95972081319723,"C_999",1008442,151379,1050766
"90",29,2,0.95398930223078,"C_999",964176,178644,1010678
"91",0,3,NA,"C_999",837208,93971,NA
"92",1,3,0.973725593201481,"C_999",848930,124258,871837
"93",2,3,0.974828681903449,"C_999",763905,126142,783630
"94",3,3,0.967704827965112,"C_999",789082,104476,815416
"95",4,3,0.968020985256406,"C_999",840279,108885,868038
"96",5,3,0.961397019819108,"C_999",860882,117249,895449
"97",6,3,0.961671452919614,"C_999",823787,123813,856620
"98",7,3,0.964414632212049,"C_999",753962,122777,781782
"99",8,3,0.967703854100785,"C_999",836939,93971,864871
"100",9,3,0.964797785377433,"C_999",821808,127884,851793
"101",10,3,0.948979567905288,"C_999",809267,120308,852776
"102",11,3,0.982459762563934,"C_999",628116,96769,639330
"103",12,3,0.941642076496592,"C_999",837988,112526,889922
"104",13,3,0.97426969941821,"C_999",842830,123898,865089
"105",14,3,0.959367651239114,"C_999",742493,112210,773940
"106",15,3,0.963608654569473,"C_999",840313,121130,872048
"107",16,3,0.972893128907739,"C_999",834502,108826,857753
"108",17,3,0.948509722166995,"C_999",834883,120993,880205
"109",18,3,0.956252199342321,"C_999",788057,129442,824110
"110",19,3,0.962763729529588,"C_999",747044,113894,775937
"111",20,3,0.959372119763102,"C_999",841047,98390,876664
"112",21,3,0.968872351130925,"C_999",828008,130853,854610
"113",22,3,0.94203325264961,"C_999",825467,117192,876261
"114",23,3,0.97124123583765,"C_999",615326,105994,633546
"115",24,3,0.937474755089205,"C_999",833221,103304,888793
"116",25,3,0.953765493125355,"C_999",833530,121479,873936
"117",26,3,0.941056740397126,"C_999",831753,128298,883850
"118",27,3,0.963096904336195,"C_999",714250,118709,741618
"119",28,3,0.963293336048224,"C_999",813717,105473,844724
"120",29,3,0.950325258065398,"C_999",834454,130370,878072
"121",0,4,NA,"C_999",515262,62914,NA
"122",1,4,0.941832389599183,"C_999",702914,90882,746326
"123",2,4,0.954906991489715,"C_999",713856,101364,747566
"124",3,4,0.955702023526335,"C_999",643219,90872,673033
"125",4,4,0.97281041676998,"C_999",686595,83297,705785
"126",5,4,0.943092047711328,"C_999",706143,91526,748753
"127",6,4,0.941450126009225,"C_999",715375,101017,759865
"128",7,4,0.948459624872204,"C_999",680939,105845,717942
"129",8,4,0.962927804220423,"C_999",654269,74504,679458
"130",9,4,0.95271366561079,"C_999",701686,100426,736513
