"","t","i","a","s","open","completed","carried","c_a"
"1",0,0,NA,"C_999",993201,359746,NA,0.265898072873512
"2",1,0,NA,"C_999",983553,374474,NA,0.275748567591071
"3",2,0,NA,"C_999",1010264,407025,NA,0.2871856057586
"4",3,0,NA,"C_999",916063,386595,NA,0.296773980584313
"5",4,0,NA,"C_999",863301,345373,NA,0.285745370546566
"6",5,0,NA,"C_999",989123,371961,NA,0.273282912737201
"7",6,0,NA,"C_999",957908,378949,NA,0.283462629136849
"8",7,0,NA,"C_999",1014033,398936,NA,0.282338819889184
"9",8,0,NA,"C_999",758573,348315,NA,0.314679533972724
"10",9,0,NA,"C_999",1004877,324221,NA,0.243940627402945
"11",10,0,NA,"C_999",1012712,370841,NA,0.268035268616381
"12",11,0,NA,"C_999",1003324,415277,NA,0.29273699933949
"13",12,0,NA,"C_999",871285,332986,NA,0.276504208770285
"14",13,0,NA,"C_999",1078916,385094,NA,0.263040553001687
"15",14,0,NA,"C_999",1043502,356434,NA,0.254607353479016
"16",15,0,NA,"C_999",951629,367979,NA,0.278854781116816
"17",16,0,NA,"C_999",922254,370679,NA,0.28669621705069
"18",17,0,NA,"C_999",975109,355949,NA,0.267418098985919
"19",18,0,NA,"C_999",1019177,372924,NA,0.267885735302252
"20",19,0,NA,"C_999",1025680,399791,NA,0.280462387519634
"21",20,0,NA,"C_999",740764,331812,NA,0.309359896175189
"22",21,0,NA,"C_999",1082719,363381,NA,0.251283452043427
"23",22,0,NA,"C_999",1072383,384092,NA,0.263713417669373
"24",23,0,NA,"C_999",1082316,425476,NA,0.282184810637011
"25",24,0,NA,"C_999",974710,324250,NA,0.249622775143191
"26",25,0,NA,"C_999",1064852,376461,NA,0.261193092687015
"27",26,0,NA,"C_999",1091577,406544,NA,0.271369268570429
"28",27,0,NA,"C_999",1072983,388922,NA,0.266037806834233
"29",28,0,NA,"C_999",968731,380561,NA,0.282044953946218
"30",29,0,NA,"C_999",1026556,365309,NA,0.26246008053942
"31",30,0,NA,"C_999",1060307,381839,NA,0.26477138930455
"32",31,0,NA,"C_999",1073154,394847,NA,0.268969162827546
"33",32,0,NA,"C_999",813695,328912,NA,0.287861005577596
"34",33,0,NA,"C_999",1104645,368312,NA,0.250049390443849
"35",34,0,NA,"C_999",1088601,384931,NA,0.261230159915088
"36",35,0,NA,"C_999",985469,371418,NA,0.2737280259889
"37",0,1,NA,"C_999",876103,244599,NA,0.218255165066182
"38",1,1,1,"C_999",1014316,238900,754301,0.190629548298139
"39",2,1,1,"C_999",1024990,277332,706221,0.2129519427607
"40",3,1,1,"C_999",1085840,249810,760454,0.187032530977427
"41",4,1,1,"C_999",1027831,223258,692805,0.178450933546694
"42",5,1,1,"C_999",950987,231647,631654,0.195873786818238
"43",6,1,1,"C_999",1081351,231448,757675,0.176301170247692
"44",7,1,1,"C_999",1053472,273411,684497,0.206055093026288
"45",8,1,1,"C_999",1108072,230104,783929,0.171953465015065
"46",9,1,1,"C_999",781973,227520,531053,0.225380463262251
"47",10,1,1,"C_999",1069785,205434,799443,0.161097035097501
"48",11,1,1,"C_999",1100355,272409,740303,0.198438333173073
"49",12,1,1,"C_999",1125477,223935,779389,0.165950058247592
"50",13,1,1,"C_999",972926,231758,639527,0.192380740509544
"51",14,1,1,"C_999",1065810,232442,846474,0.179042281467697
"52",15,1,1,"C_999",1149049,217674,825828,0.159267093624677
"53",16,1,1,"C_999",1102911,235063,716566,0.175685775657823
"54",17,1,1,"C_999",1032882,229385,692869,0.181724627198525
"55",18,1,1,"C_999",1075012,225583,749526,0.173445999715515
"56",19,1,1,"C_999",1099590,260359,758818,0.191447620462238
"57",20,1,1,"C_999",1140897,213448,812232,0.157602383439965
"58",21,1,1,"C_999",845527,231497,509267,0.214941356924265
"59",22,1,1,"C_999",1154925,212988,869731,0.155702884613276
"60",23,1,1,"C_999",1175219,268156,804227,0.185784013163592
"61",24,1,1,"C_999",1148259,225177,857139,0.16395157837715
"62",25,1,1,"C_999",1092569,238586,736124,0.179232320804114
"63",26,1,1,"C_999",1167816,255957,808895,0.179773742022078
"64",27,1,1,"C_999",1197072,249481,842096,0.172465855036075
"65",28,1,1,"C_999",1170678,252470,820513,0.177402490816134
"66",29,1,1,"C_999",1079537,238897,729834,0.181197541932323
"67",30,1,1,"C_999",1158156,253275,773281,0.179445541439858
"68",31,1,1,"C_999",1139846,270176,790131,0.191611194718948
"69",32,1,1,"C_999",1187575,212512,860642,0.151784853369826
"70",33,1,1,"C_999",894311,253723,559972,0.221006520712801
"71",34,1,1,"C_999",1189788,227868,876777,0.160735749716433
"72",35,1,1,"C_999",1190171,248842,839759,0.172925470443978
"73",0,2,NA,"C_999",699421,129924,NA,0.156658567905998
"74",1,2,0.954002508206495,"C_999",696045,146498,729605,0.173875992085864
"75",2,2,0.942329703698655,"C_999",801883,163358,850958,0.169240635240318
"76",3,2,0.96439302867165,"C_999",830299,164035,860955,0.164969718424594
"77",4,2,0.93923814498377,"C_999",881104,147735,938105,0.143593895643536
"78",5,2,0.961406033018246,"C_999",824547,170184,857647,0.171085449232003
"79",6,2,0.97300138409517,"C_999",777504,151909,799078,0.163446175166476
"80",7,2,0.934787332819692,"C_999",851724,170209,911142,0.166555928813337
"81",8,2,0.973889487935733,"C_999",886927,142766,910706,0.138649092496501
"82",9,2,0.936086643887631,"C_999",881334,166563,941509,0.15894978227822
"83",10,2,0.978924857796136,"C_999",628505,139937,642036,0.182104830292982
"84",11,2,0.963752943401888,"C_999",886512,149931,919854,0.144659185309757
"85",12,2,0.978299283032109,"C_999",933997,145640,954715,0.134897192297041
"86",13,2,0.966851374588506,"C_999",919874,174065,951412,0.159117647327685
"87",14,2,0.995412915625739,"C_999",829170,139935,832991,0.144396118067702
"88",15,2,0.966821929029559,"C_999",887558,147794,918016,0.142747587293983
"89",16,2,0.973609427535282,"C_999",972666,150018,999031,0.133624421475678
"90",17,2,0.97286241264362,"C_999",919892,157359,945552,0.146074591715394
"91",18,2,0.952333227379521,"C_999",841894,148849,884033,0.150239769546694
"92",19,2,0.963996130430353,"C_999",879900,162249,912763,0.155686950714341
"93",20,2,0.989281880841013,"C_999",955766,133469,966121,0.122534622923428
"94",21,2,0.976435725777155,"C_999",940747,177447,963450,0.158690710198767
"95",22,2,0.96729809758325,"C_999",690587,131593,713934,0.160053759517381
"96",23,2,0.964119394246557,"C_999",968268,150622,1004303,0.134617343974832
"97",24,2,0.963044283243371,"C_999",996095,140900,1034319,0.123923148298805
"98",25,2,0.930337101631566,"C_999",909772,170364,977895,0.15772458283031
"99",26,2,0.983710199171234,"C_999",919892,157444,935125,0.146141964995136
"100",27,2,0.961555421257463,"C_999",976923,151834,1015982,0.134514337452614
"101",28,2,0.975038127368518,"C_999",1012698,158448,1038624,0.135293123146047
"102",29,2,0.970131177031107,"C_999",980433,160059,1010619,0.14034206289917
"103",30,2,0.97996260929092,"C_999",904725,156313,923224,0.147320831110667
"104",31,2,0.966696321939253,"C_999",958375,166764,991392,0.148216353712741
"105",32,2,0.969313716657773,"C_999",979097,129753,1010093,0.117015827208369
"106",33,2,0.961611969207356,"C_999",973084,175645,1011930,0.152903774519491
"107",34,2,0.971995226263997,"C_999",736265,136833,757478,0.156721238623843
"108",35,2,0.950822906312363,"C_999",1002464,135476,1054312,0.119053728667592
"109",0,3,NA,"C_999",508987,86579,NA,0.145372637121662
"110",1,3,0.942978944906222,"C_999",572458,92347,607074,0.13890840171178
"111",2,3,0.955350509286998,"C_999",558068,111895,584150,0.167016685996092
"112",3,3,0.961759559029149,"C_999",667213,108141,693742,0.139473066496078
"113",4,3,0.94185597120197,"C_999",682369,105805,724494,0.134240662594808
"114",5,3,0.950905956621557,"C_999",714893,129302,751802,0.153166033913965
"115",6,3,0.961487848563352,"C_999",675850,121626,702921,0.15251368066249
"116",7,3,0.947887861819554,"C_999",618039,125487,652017,0.168772847217179
"117",8,3,0.973508785732669,"C_999",730043,101815,749909,0.122394687554847
"118",9,3,0.938664415691665,"C_999",718358,121629,765298,0.144798669503219
"119",10,3,0.948208436436848,"C_999",719639,122388,758946,0.145349258396702
"120",11,3,1,"C_999",528485,116296,512209,0.180365116217755
"121",12,3,0.959435486006302,"C_999",760935,93405,793107,0.109330009129855
"122",13,3,0.964685756231688,"C_999",775371,130242,803755,0.143816398395341
"123",14,3,0.967368243179813,"C_999",772845,120959,798915,0.135330564642808
"124",15,3,1,"C_999",734930,102513,726657,0.122411913407838
"125",16,3,0.989749928341584,"C_999",763116,116539,771019,0.132482621027562
"126",17,3,0.963026282903499,"C_999",820717,120439,852227,0.127969220830553
"127",18,3,0.941568518671235,"C_999",753558,119570,800322,0.136944411357785
"128",19,3,0.972469285584794,"C_999",697348,124804,717090,0.151801613326976
"129",20,3,0.989072144472285,"C_999",776841,94476,785424,0.108428964429708
"130",21,3,0.992292263783941,"C_999",818785,130621,825145,0.137581814313371
"131",22,3,0.964656589673499,"C_999",791548,120198,820549,0.131832769214233
"132",23,3,1,"C_999",596808,106161,584426,0.151018039202298
"133",24,3,0.95757848877441,"C_999",837208,93971,874297,0.100916150385694
"134",25,3,0.973725593201481,"C_999",848930,124258,871837,0.127681393523143
"135",26,3,0.974828681903449,"C_999",763905,126142,783630,0.141725099910454
"136",27,3,0.967704827965112,"C_999",789082,104476,815416,0.116921341423836
"137",28,3,0.968020985256406,"C_999",840279,108885,868038,0.114716740205065
"138",29,3,0.961397019819108,"C_999",860882,117249,895449,0.119870446801093
"139",30,3,0.962081030942038,"C_999",824058,123896,856537,0.13069832502421
"140",31,3,0.963795551348793,"C_999",753505,122915,781810,0.140246685379156
"141",32,3,0.967800118239002,"C_999",836519,94024,864351,0.101042079731941
"142",33,3,0.965455179843353,"C_999",821808,127884,851213,0.134658394511063
"143",34,3,0.949306199700504,"C_999",809537,120317,852767,0.129393431657013
"144",35,3,0.982192978204068,"C_999",628135,96742,639523,0.133459883538862
"145",0,4,NA,"C_999",329586,65209,NA,0.165171798021758
"146",1,4,0.903982501975692,"C_999",403790,62308,446679,0.133680041536329
"147",2,4,0.915685275699102,"C_999",452995,77752,494706,0.146495411184613
"148",3,4,0.936088261764354,"C_999",446208,81395,476673,0.154273194049314
"149",4,4,0.910151455550134,"C_999",539100,74894,592319,0.121978390668313
"150",5,4,0.916299642354406,"C_999",535721,97712,584657,0.154257829952023
"151",6,4,0.91862455090499,"C_999",567371,97262,617631,0.146339408365218
"152",7,4,0.908853488831163,"C_999",520265,103409,572441,0.165806174379564
