"","completed_admit","completed_non_admit","total","date2"
"1",284512,848813,1133325,2007-08-01
"2",279421,847530,1126951,2007-09-01
"3",319388,910514,1229902,2007-10-01
"4",313200,920948,1234148,2007-11-01
"5",246718,740311,987029,2007-12-01
"6",300782,908522,1209304,2008-01-01
"7",298749,832631,1131380,2008-02-01
"8",282040,725954,1007994,2008-03-01
"9",306294,842395,1148689,2008-04-01
"10",278940,756306,1035246,2008-05-01
"11",295120,806273,1101393,2008-06-01
"12",313847,846561,1160408,2008-07-01
"13",265265,713155,978420,2008-08-01
"14",303487,838888,1142375,2008-09-01
"15",322525,880814,1203339,2008-10-01
"16",295829,807238,1103067,2008-11-01
"17",267405,774454,1041859,2008-12-01
"18",296415,842649,1139064,2009-01-01
"19",283560,768739,1052299,2009-02-01
"20",325461,907077,1232538,2009-03-01
"21",288846,855052,1143898,2009-04-01
"22",283074,819796,1102869,2009-05-01
"23",322620,967352,1289972,2009-06-01
"24",324780,951430,1276210,2009-07-01
"25",281442,804998,1086440,2009-08-01
"26",319766,937399,1257165,2009-09-01
"27",322175,915429,1237604,2009-10-01
"28",318166,908889,1227055,2009-11-01
"29",279701,810203,1089904,2009-12-01
"30",285034,813679,1098713,2010-01-01
"31",300250,846361,1146611,2010-02-01
"32",351565,979206,1330771,2010-03-01
"33",290216,847180,1137396,2010-04-01
"34",291845,858750,1150595,2010-05-01
"35",323619,960022,1283641,2010-06-01
"36",313814,940109,1253923,2010-07-01
"37",288308,874747,1163055,2010-08-01
"38",312812,948233,1261045,2010-09-01
"39",305751,888651,1194403,2010-10-01
"40",327127,949349,1276476,2010-11-01
"41",257225,752266,1009492,2010-12-01
"42",285161,850814,1135975,2011-01-01
"43",289984,821572,1111556,2011-02-01
"44",338297,952293,1290590,2011-03-01
"45",263604,746527,1010131,2011-04-01
"46",298551,875922,1174473,2011-05-01
"47",322060,937234,1259294,2011-06-01
"48",301063,853392,1154455,2011-07-01
"49",300371,876453,1176824,2011-08-01
"50",311714,909628,1221342,2011-09-01
"51",305256,884190,1189446,2011-10-01
"52",326562,942033,1268595,2011-11-01
"53",272125,776393,1048518,2011-12-01
"54",306202,890305,1196507,2012-01-01
"55",304161,854170,1158331,2012-02-01
"56",329228,900084,1229312,2012-03-01
"57",272875,793600,1066475,2012-04-01
"58",327305,957487,1284792,2012-05-01
"59",276492,789049,1065541,2012-06-01
"60",315140,922128,1237268,2012-07-01
"61",298613,873924,1172537,2012-08-01
"62",292098,853627,1145725,2012-09-01
"63",337230,1001586,1338816,2012-10-01
"64",327957,950458,1278415,2012-11-01
"65",258194,756066,1014260,2012-12-01
"66",317524,953847,1271371,2013-01-01
"67",297264,858432,1155696,2013-02-01
"68",295886,855801,1151687,2013-03-01
"69",304135,830660,1134795,2013-04-01
"70",309116,839089,1148205,2013-05-01
"71",298778,812906,1111684,2013-06-01
"72",331637,909447,1241084,2013-07-01
"73",288597,776092,1064689,2013-08-01
"74",310869,851181,1162050,2013-09-01
"75",339606,940671,1280277,2013-10-01
"76",325321,887532,1212853,2013-11-01
"77",274711,776602,1051313,2013-12-01
"78",334250,932882,1267132,2014-01-01
"79",307950,839956,1147906,2014-02-01
"80",329654,890593,1220247,2014-03-01
"81",303029,857187,1160216,2014-04-01
"82",306183,864872,1171055,2014-05-01
"83",322579,925913,1248492,2014-06-01
"84",339717,970283,1310000,2014-07-01
"85",294426,804522,1098948,2014-08-01
"86",336177,953812,1289989,2014-09-01
"87",346849,989032,1335881,2014-10-01
"88",326861,911410,1238271,2014-11-01
"89",295082,869627,1164708,2014-12-01
"90",316645,934409,1251053,2015-01-01
"91",315461,886642,1202102,2015-02-01
"92",348762,974950,1323713,2015-03-01
"93",310722,900393,1211116,2015-04-01
"94",304434,866010,1170444,2015-05-01
"95",344635,1015543,1360178,2015-06-01
"96",345544,1004571,1350115,2015-07-01
"97",298054,862913,1160967,2015-08-01
"98",334582,997469,1332050,2015-09-01
"99",333595,1003471,1337065,2015-10-01
"100",330490,1010527,1341017,2015-11-01
"101",293251,920233,1213484,2015-12-01
"102",310486,967199,1277685,2016-01-01
"103",321062,987536,1308598,2016-02-01
"104",312705,983750,1296455,2016-03-01
"105",308804,980337,1289141,2016-04-01
"106",313110,1003903,1317013,2016-05-01
"107",334745,1063784,1398529,2016-06-01
"108",316543,978795,1295338,2016-07-01
"109",315949,1004932,1320881,2016-08-01
"110",329203,1055140,1384343,2016-09-01
"111",322764,1048358,1371122,2016-10-01
"112",345444,1127172,1472616,2016-11-01
"113",285462,928436,1213898,2016-12-01
"114",317779,1073431,1391210,2017-01-01
"115",305241,1009693,1314934,2017-02-01
"116",350922,1147578,1498500,2017-03-01
"117",273776,922278,1196054,2017-04-01
"118",319481,1105090,1424571,2017-05-01
"119",323834,1116025,1439858,2017-06-01
