"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"1",1,"C_999",2024-04-01,"first",1463458.40365726,"activity",1462865.06845722
"2",1,"C_999",2024-04-01,"fups",3285799.3213579,"activity",3284467.14793039
"3",1,"C_999",2024-04-01,"ncl",590647.657074352,"activity",590408.188672049
"4",1,"C_999",2024-04-01,"cl",3249364.67648665,"activity",3248047.27488815
"5",1,"C_999",2024-04-01,"proc",909245.391454151,"activity",908876.752827408
"6",1,"C_999",2024-04-01,"non_proc",3840012.333561,"activity",3838455.4635602
"7",1,"C_999",2024-04-01,"dc",218527.5087564,"activity",218438.910363171
"8",1,"C_999",2024-04-01,"ord",48898.6324116994,"activity",48878.8072634267
"9",2,"C_999",2024-05-01,"first",1467067.68688122,"activity",1465878.33098311
"10",2,"C_999",2024-05-01,"fups",3293902.98890202,"activity",3291232.6124888
"11",2,"C_999",2024-05-01,"ncl",592104.353537076,"activity",591624.332873088
"12",2,"C_999",2024-05-01,"cl",3257378.48636746,"activity",3254737.72047113
"13",2,"C_999",2024-05-01,"proc",911487.835878701,"activity",910748.890127699
"14",2,"C_999",2024-05-01,"non_proc",3849482.83990454,"activity",3846362.05334422
"15",2,"C_999",2024-05-01,"dc",219066.456545663,"activity",218888.858753482
"16",2,"C_999",2024-05-01,"ord",49019.2296307233,"activity",48979.4896034545
"17",3,"C_999",2024-06-01,"first",1470685.8715713,"activity",1468897.80033645
"18",3,"C_999",2024-06-01,"fups",3302026.64227645,"activity",3298012.0127965
"19",3,"C_999",2024-06-01,"ncl",593564.642606254,"activity",592842.982132061
"20",3,"C_999",2024-06-01,"cl",3265412.06046534,"activity",3261441.94727658
"21",3,"C_999",2024-06-01,"proc",913735.810776151,"activity",912624.883724303
"22",3,"C_999",2024-06-01,"non_proc",3858976.7030716,"activity",3854284.92940864
"23",3,"C_999",2024-06-01,"dc",219606.733525567,"activity",219339.733963807
"24",3,"C_999",2024-06-01,"ord",49140.1242750232,"activity",49080.3793326181
"25",4,"C_999",2024-07-01,"first",1474312.97968091,"activity",1471923.48930228
"26",4,"C_999",2024-07-01,"fups",3310170.33077163,"activity",3304805.37755883
"27",4,"C_999",2024-07-01,"ncl",595028.533142222,"activity",594064.141608979
"28",4,"C_999",2024-07-01,"cl",3273465.44752418,"activity",3268159.98369157
"29",4,"C_999",2024-07-01,"proc",915989.32978614,"activity",914504.741560559
"30",4,"C_999",2024-07-01,"non_proc",3868493.9806664,"activity",3862224.12530055
"31",4,"C_999",2024-07-01,"dc",220148.342974255,"activity",219791.537903243
"32",4,"C_999",2024-07-01,"ord",49261.31707813,"activity",49181.4768781051
"33",5,"C_999",2024-08-01,"first",1477949.03321761,"activity",1474955.41069197
"34",5,"C_999",2024-08-01,"fups",3318334.10379959,"activity",3311612.7355403
"35",5,"C_999",2024-08-01,"ncl",596496.034027169,"activity",595287.816474478
"36",5,"C_999",2024-08-01,"cl",3281538.69640809,"activity",3274891.85816163
"37",5,"C_999",2024-08-01,"proc",918248.406581944,"activity",916388.471596169
"38",5,"C_999",2024-08-01,"non_proc",3878034.73043526,"activity",3870179.6746361
"39",5,"C_999",2024-08-01,"dc",220691.288177955,"activity",220244.272484821
"40",5,"C_999",2024-08-01,"ord",49382.8087753836,"activity",49282.782667983
"41",6,"C_999",2024-09-01,"first",1481594.05424324,"activity",1477993.57734332
"42",6,"C_999",2024-09-01,"fups",3326518.0108942,"activity",3318434.11556464
"43",6,"C_999",2024-09-01,"ncl",597967.15416519,"activity",596514.011909847
"44",6,"C_999",2024-09-01,"cl",3289631.85610169,"activity",3281637.59919088
"45",6,"C_999",2024-09-01,"proc",920513.054870563,"activity",918276.081807228
"46",6,"C_999",2024-09-01,"non_proc",3887599.01026688,"activity",3878151.61110073
"47",6,"C_999",2024-09-01,"dc",221235.572431,"activity",220697.93962551
"48",6,"C_999",2024-09-01,"ord",49504.6001039378,"activity",49384.2971312013
"49",7,"C_999",2024-10-01,"first",1485248.06487405,"activity",1481038.00212052
"50",7,"C_999",2024-10-01,"fups",3334722.10171149,"activity",3325269.54651496
"51",7,"C_999",2024-10-01,"ncl",599441.902482338,"activity",597742.733107049
"52",7,"C_999",2024-10-01,"cl",3297744.9757104,"activity",3288397.23534217
"53",7,"C_999",2024-10-01,"proc",922783.288392801,"activity",920167.580186264
"54",7,"C_999",2024-10-01,"non_proc",3897186.87819274,"activity",3886139.96844922
"55",7,"C_999",2024-10-01,"dc",221781.199035844,"activity",221152.54124623
"56",7,"C_999",2024-10-01,"ord",49626.6918027641,"activity",49486.0206975929
"57",8,"C_999",2024-11-01,"first",1488911.08728082,"activity",1484088.69791431
"58",8,"C_999",2024-11-01,"fups",3342946.42602998,"activity",3332119.05733388
"59",8,"C_999",2024-11-01,"ncl",600920.287926682,"activity",598973.985268737
"60",8,"C_999",2024-11-01,"cl",3305878.10446076,"activity",3295170.79523718
"61",8,"C_999",2024-11-01,"proc",925059.120923351,"activity",922062.974742265
"62",8,"C_999",2024-11-01,"non_proc",3906798.39238744,"activity",3894144.78050592
"63",8,"C_999",2024-11-01,"dc",222328.171303092,"activity",221608.079271857
"64",8,"C_999",2024-11-01,"ord",49749.0846126567,"activity",49587.9537978759
"65",9,"C_999",2024-12-01,"first",1492583.14368903,"activity",1487145.67764193
"66",9,"C_999",2024-12-01,"fups",3351191.03375092,"activity",3338982.67702361
"67",9,"C_999",2024-12-01,"ncl",602402.31946836,"activity",600207.773608286
"68",9,"C_999",2024-12-01,"cl",3314031.29170071,"activity",3301958.30755654
"69",9,"C_999",2024-12-01,"proc",927340.566270878,"activity",923962.273500718
"70",9,"C_999",2024-12-01,"non_proc",3916433.61116907,"activity",3902166.08116482
"71",9,"C_999",2024-12-01,"dc",222876.492551508,"activity",222064.555631232
"72",9,"C_999",2024-12-01,"ord",49871.7792762367,"activity",49690.0968636561
"73",10,"C_999",2025-01-01,"first",1496264.25637896,"activity",1490208.95424728
"74",10,"C_999",2025-01-01,"fups",3359455.97489868,"activity",3345860.43464612
"75",10,"C_999",2025-01-01,"ncl",603888.00609963,"activity",601444.103349806
"76",10,"C_999",2025-01-01,"cl",3322204.5868999,"activity",3308759.80103995
"77",10,"C_999",2025-01-01,"proc",929627.638278103,"activity",925865.484503641
"78",10,"C_999",2025-01-01,"non_proc",3926092.59299953,"activity",3910203.90438976
"79",10,"C_999",2025-01-01,"dc",223426.166108045,"activity",222521.972257167
"80",10,"C_999",2025-01-01,"ord",49994.7765379567,"activity",49792.4503274278
"81",11,"C_999",2025-02-01,"first",1499954.44768584,"activity",1493278.54070088
"82",11,"C_999",2025-02-01,"fups",3367741.29962096,"activity",3352752.35932323
"83",11,"C_999",2025-02-01,"ncl",605377.35683493,"activity",602682.979728169
"84",11,"C_999",2025-02-01,"cl",3330398.03964998,"activity",3315575.30448633
"85",11,"C_999",2025-02-01,"proc",931920.350821887,"activity",927772.615809617
"86",11,"C_999",2025-02-01,"non_proc",3935775.39648491,"activity",3918258.2842145
"87",11,"C_999",2025-02-01,"dc",223977.195307859,"activity",222980.33108646
"88",11,"C_999",2025-02-01,"ord",50118.0771441053,"activity",49895.0146225766
"89",12,"C_999",2025-03-01,"first",1503653.74,"activity",1496354.45
"90",12,"C_999",2025-03-01,"fups",3376047.05818915,"activity",3359658.48023677
"91",12,"C_999",2025-03-01,"ncl",606870.380710929,"activity",603924.40798903
"92",12,"C_999",2025-03-01,"cl",3338611.69966491,"activity",3322404.84675391
"93",12,"C_999",2025-03-01,"proc",934218.717813313,"activity",929683.675493829
"94",12,"C_999",2025-03-01,"non_proc",3945482.08037584,"activity",3926329.25474294
"95",12,"C_999",2025-03-01,"dc",224529.583494332,"activity",223439.634059893
"96",12,"C_999",2025-03-01,"ord",50241.6818428118,"activity",49997.7901833805
"97",13,"C_999",2025-04-01,"first",1507362.15576697,"activity",1499436.69516865
"98",13,"C_999",2025-04-01,"fups",3384373.30099864,"activity",3366578.82662864
"99",13,"C_999",2025-04-01,"ncl",608367.086786583,"activity",605168.393388849
"100",13,"C_999",2025-04-01,"cl",3346845.61678125,"activity",3329248.45676035
"101",13,"C_999",2025-04-01,"proc",936522.753197776,"activity",931598.671648092
"102",13,"C_999",2025-04-01,"non_proc",3955212.70356784,"activity",3934416.8501492
"103",13,"C_999",2025-04-01,"dc",225083.334019092,"activity",223899.88312225
"104",13,"C_999",2025-04-01,"ord",50365.5913840504,"activity",50100.7774450123
"105",14,"C_999",2025-05-01,"first",1511079.71748766,"activity",1502525.28925769
"106",14,"C_999",2025-05-01,"fups",3392720.07856908,"activity",3373513.42780102
"107",14,"C_999",2025-05-01,"ncl",609867.484143189,"activity",606414.941194914
"108",14,"C_999",2025-05-01,"cl",3355099.84095849,"activity",3336106.1634829
"109",14,"C_999",2025-05-01,"proc",938832.470955063,"activity",933517.61238089
"110",14,"C_999",2025-05-01,"non_proc",3964967.32510168,"activity",3942521.10467782
