"","t","breach","not_breach","tot","ratio"
"1",1,3028578.9027723,4483210.36784034,7511789.27061264,0.403176765703559
"2",2,2863856.02254227,4605427.72041731,7469283.74295958,0.383417757457894
"3",3,2840459.77431855,4582333.35258787,7422793.12690641,0.382667242068534
"4",4,2771128.62892549,4610281.4931402,7381410.12206569,0.375419951350703
"5",5,2506947.36575852,4837079.6396492,7344027.00540772,0.34135868017813
"6",6,2461977.94166248,4838427.19324365,7300405.13490612,0.337238536241062
"7",7,2419873.35582691,4834246.9688911,7254120.32471801,0.333586051444629
"8",8,2378870.12208127,4827028.388928,7205898.51100926,0.330128174640095
"9",9,2339510.95473294,4817635.01407691,7157145.96880985,0.326877635991819
"10",10,2302769.32796657,4806087.41939446,7108856.74736103,0.323929628884617
"11",11,2264837.15482179,4792812.14320911,7057649.2980309,0.320905312687284
"12",12,2226336.92138426,4778188.24799762,7004525.16938187,0.317842661357832
"13",13,2189122.21783048,4762158.67134291,6951280.88917339,0.314923573472629
"14",14,2150995.38695143,4744867.10021888,6895862.48717031,0.311925504743364
"15",15,2111267.38529724,4727365.18395501,6838632.56925225,0.30872654202682
"16",16,2071107.58864247,4708786.62309802,6779894.21174049,0.305477862037435
"17",17,2030404.89457749,4689478.43648169,6719883.33105919,0.302148831244286
"18",18,1988946.98211565,4669474.36183834,6658421.34395399,0.298711493216281
"19",19,1946979.11111254,4648537.91257659,6595517.02368913,0.295197344517431
"20",20,1904588.13926384,4626848.40711836,6531436.5463822,0.291603252322615
"21",21,1861510.29966914,4604469.28332858,6465979.58299772,0.287893006121451
"22",22,1817811.84873466,4581382.22124761,6399194.06998227,0.284068873182291
"23",23,1773625.91088827,4557539.5192703,6331165.43015857,0.280142089233616
"24",24,1728964.90562269,4532936.65192223,6261901.55754493,0.276108605306878
"25",25,1683977.48307461,4507430.30575738,6191407.78883199,0.271986200959361
"26",26,1638644.09231398,4481043.47113026,6119687.56344424,0.267765972580425
"27",27,1593054.30921013,4453689.55881823,6046743.86802837,0.263456555127673
"28",28,1547271.88914264,4425309.51329395,5972581.40243659,0.259062503277295
"29",29,1501327.92415617,4395876.50219865,5897204.42635482,0.254582988075956
"30",30,1455260.2126984,4365356.34961875,5820616.56231714,0.250018223519446
"31",31,1409088.64604977,4333732.60120696,5742821.24725673,0.245365228235664
"32",32,1362838.60243117,4300982.24453679,5663820.84696796,0.240621770930615
"33",33,1316538.99685708,4267077.44218396,5583616.43904104,0.235786073637105
"34",34,1270221.70975949,4231986.16330277,5502207.87306226,0.230856728619478
