"","t","breach","not_breach","tot","ratio"
"1",-35,1736188,3407298,5143486,0.33755083614498
"2",-34,1655260,3670162,5325422,0.310822316053075
"3",-33,1625991,3848200,5474191,0.297028547231911
"4",-32,1682983,3945623,5628606,0.299005295449708
"5",-31,1740988,3993705,5734693,0.303588701260904
"6",-30,1839164,4015271,5854435,0.314148846131181
"7",-29,1937353,4059984,5997337,0.32303554060744
"8",-28,1964168,4057533,6021701,0.326181588889917
"9",-27,2091206,4000446,6091652,0.343290457169911
"10",-26,2187527,3965712,6153239,0.355508212829048
"11",-25,2229920,4006588,6236508,0.357559069915408
"12",-24,2289609,4101640,6391249,0.358241245177586
"13",-23,2383899,4125435,6509334,0.366227789202398
"14",-22,2301983,4361949,6663932,0.345439149138977
"15",-21,2427430,4358478,6785908,0.35771631445637
"16",-20,2534467,4332309,6866776,0.369091259129466
"17",-19,2612806,4419982,7032788,0.371517810575265
"18",-18,2722797,4379610,7102407,0.383362569900598
"19",-17,2638495,4343676,6982171,0.37789034384864
"20",-16,2642851,4313075,6955926,0.379942368564588
"21",-15,2811867,4222716,7034583,0.399720495159415
"22",-14,2866125,4374013,7240138,0.395866073270979
"23",-13,2856520,4388415,7244935,0.394278209535351
"24",-12,2890624,4468825,7359449,0.392777231012811
"25",-11,2972510,4471534,7444044,0.399313867569832
"26",-10,2885320,4619037,7504357,0.384485972615642
"27",-9,2947023,4657046,7604069,0.387558687329113
"28",-8,3024465,4679279,7703744,0.392596768532288
"29",-7,3096428,4678981,7775409,0.398233456272204
"30",-6,3119975,4653551,7773526,0.401359048647937
"31",-5,3073013,4663027,7736040,0.397233339020998
"32",-4,3034226,4605539,7639765,0.397162216377074
"33",-3,3162497,4470820,7633317,0.414301803527877
"34",-2,3110174,4495534,7605708,0.408926295881988
"35",-1,3061634,4507618,7569252,0.404483032141089
"36",0,3080527,4488180,7568707,0.407008356909575
