"","t","s","first","fups","dc","ord","date"
"1",1,"C_999",1458282.14779604,3274177.44132806,217754.576437169,48725.6778323318,2024-03-01
"2",2,"C_999",1461285.97025573,3280921.71077561,218203.115211638,48826.0447508035,2024-04-01
"3",3,"C_999",1464295.98009788,3287679.87231398,218652.577902544,48926.6184086942,2024-05-01
"4",4,"C_999",1467312.19006747,3294451.9545586,219102.966413002,49027.3992318532,2024-06-01
"5",5,"C_999",1470334.61293575,3301237.98618386,219554.28265005,49128.387647007,2024-07-01
"6",6,"C_999",1473363.26150028,3308037.99592318,220006.528524652,49229.5840817612,2024-08-01
"7",7,"C_999",1476398.14858498,3314852.0125692,220459.705951709,49330.9889646021,2024-09-01
"8",8,"C_999",1479439.28704016,3321680.06497385,220913.816850067,49432.6027248986,2024-10-01
"9",9,"C_999",1482486.68974264,3328522.1820485,221368.863142524,49534.4257929041,2024-11-01
"10",10,"C_999",1485540.36959573,3335378.39276406,221824.846755839,49636.4585997581,2024-12-01
"11",11,"C_999",1488600.33952934,3342248.72615113,222281.769620739,49738.7015774884,2025-01-01
"12",12,"C_999",1491666.6125,3349133.21130009,222739.633671929,49841.1551590126,2025-02-01
"13",13,"C_999",1494739.20149094,3356031.87736126,223198.440848098,49943.81977814,2025-03-01
"14",14,"C_999",1497818.11951213,3362944.753545,223658.193091929,50046.6958695735,2025-04-01
"15",15,"C_999",1500903.37960032,3369871.86912183,224118.892350107,50149.7838689115,2025-05-01
"16",16,"C_999",1503994.99481915,3376813.25342257,224580.540573327,50253.0842126494,2025-06-01
"17",17,"C_999",1507092.97825915,3383768.93583845,225043.139716301,50356.5973381821,2025-07-01
"18",18,"C_999",1510197.34303779,3390738.94582126,225506.691737768,50460.3236838052,2025-08-01
"19",19,"C_999",1513308.1022996,3397723.31288343,225971.198600501,50564.263688717,2025-09-01
"20",20,"C_999",1516425.26921616,3404722.0665982,226436.662271318,50668.417793021,2025-10-01
"21",21,"C_999",1519548.8569862,3411735.23659971,226903.084721087,50772.7864377266,2025-11-01
"22",22,"C_999",1522678.87883562,3418762.85258316,227370.467924735,50877.370064752,2025-12-01
"23",23,"C_999",1525815.34801757,3425804.9443049,227838.813861257,50982.1691169256,2026-01-01
"24",24,"C_999",1528958.2778125,3432861.54158259,228308.124513727,51087.1840379879,2026-02-01
"25",25,"C_999",1532107.68152821,3439932.67429529,228778.4018693,51192.4152725935,2026-03-01
"26",26,"C_999",1535263.57249993,3447018.37238362,229249.647919227,51297.8632663128,2026-04-01
"27",27,"C_999",1538425.96409033,3454118.66584987,229721.864658859,51403.5284656342,2026-05-01
"28",28,"C_999",1541594.86968963,3461233.58475812,230195.05408766,51509.4113179656,2026-06-01
"29",29,"C_999",1544770.30271562,3468363.15923441,230669.218209208,51615.5122716366,2026-07-01
"30",30,"C_999",1547952.27661373,3475507.41946679,231144.359031211,51721.8317759002,2026-08-01
"31",31,"C_999",1551140.80485709,3482666.39570551,231620.478565514,51828.3702809349,2026-09-01
"32",32,"C_999",1554335.90094656,3489840.11826315,232097.578828101,51935.1282378464,2026-10-01
"33",33,"C_999",1557537.57841085,3497028.6175147,232575.661839114,52042.1060986697,2026-11-01
"34",34,"C_999",1560745.85080651,3504231.92389773,233054.729622853,52149.3043163707,2026-12-01
"35",35,"C_999",1563960.731718,3511450.06791252,233534.784207788,52256.7233448486,2027-01-01
"36",36,"C_999",1567182.23475781,3518683.08012215,234015.827626569,52364.3636389375,2027-02-01
"37",37,"C_999",1570410.37356641,3525930.99115266,234497.861916032,52472.2256544082,2027-03-01
"38",38,"C_999",1573645.16181242,3533193.8316932,234980.889117207,52580.3098479705,2027-04-01
"39",39,"C_999",1576886.61319259,3540471.63249611,235464.911275331,52688.616677275,2027-05-01
"40",40,"C_999",1580134.74143187,3547764.42437707,235949.930439851,52797.1466009147,2027-06-01
"41",41,"C_999",1583389.56028351,3555072.23821526,236435.948664438,52905.9000784274,2027-07-01
"42",42,"C_999",1586651.08352907,3562395.10495345,236922.968006991,53014.8775702976,2027-08-01
"43",43,"C_999",1589919.32497851,3569733.05559814,237410.990529651,53124.0795379582,2027-09-01
