"","year(date)","type","cost"
"1",2024,"cl_costing",6.01321163736789
"2",2024,"dc_cost",2.28135924847308
"3",2024,"in_cost",2.87456040906232
"4",2024,"ncl_costing",0.70691249528975
"5",2024,"proc_cost",1.8563820383137
"6",2025,"cl_costing",7.38110386314437
"7",2025,"dc_cost",2.8003254463027
"8",2025,"in_cost",3.52846868191372
"9",2025,"ncl_costing",0.86772175412275
"10",2025,"proc_cost",2.27867393678942
"11",2026,"cl_costing",7.56563145972297
"12",2026,"dc_cost",2.87033358246026
"13",2026,"in_cost",3.61668039896156
"14",2026,"ncl_costing",0.889414797975818
"15",2026,"proc_cost",2.33564078520916
"16",2027,"cl_costing",7.75477224621603
"17",2027,"dc_cost",2.94209192202176
"18",2027,"in_cost",3.70709740893559
"19",2027,"ncl_costing",0.911650167925212
"20",2027,"proc_cost",2.39403180483938
"21",2028,"cl_costing",7.94864155237142
"22",2028,"dc_cost",3.0156442200723
"23",2028,"in_cost",3.79977484415898
"24",2028,"ncl_costing",0.934441422123341
"25",2028,"proc_cost",2.45388259996036
"26",2029,"cl_costing",1.34396055881323
"27",2029,"dc_cost",0.509886735297693
"28",2029,"in_cost",0.642467959999628
"29",2029,"ncl_costing",0.1579958547106
"30",2029,"proc_cost",0.414903780548623
