"","year(date)","type","cost"
"1",2024,"cl_costing",6.09673161251968
"2",2024,"dc_cost",2.31304598747969
"3",2024,"in_cost",2.91448636351322
"4",2024,"ncl_costing",0.716731094334924
"5",2024,"proc_cost",1.88216609366753
"6",2025,"cl_costing",7.64425513026157
"7",2025,"dc_cost",2.9001627068532
"8",2025,"in_cost",3.65426572011356
"9",2025,"ncl_costing",0.898657787991984
"10",2025,"proc_cost",2.35991326696701
"11",2026,"cl_costing",8.01882363164439
"12",2026,"dc_cost",3.04227067948901
"13",2026,"in_cost",3.83332474039913
"14",2026,"ncl_costing",0.942692019603591
"15",2026,"proc_cost",2.4755490170484
"16",2027,"cl_costing",8.41174598959497
"17",2027,"dc_cost",3.19134194278397
"18",2027,"in_cost",4.02115765267868
"19",2027,"ncl_costing",0.988883928564167
"20",2027,"proc_cost",2.59685091888377
"21",2028,"cl_costing",8.82392154308512
"22",2028,"dc_cost",3.34771769798039
"23",2028,"in_cost",4.21819437765994
"24",2028,"ncl_costing",1.03733924106381
"25",2028,"proc_cost",2.72409661390908
"26",2029,"cl_costing",9.34211268784049
"27",2029,"dc_cost",3.54431482973908
"28",2029,"in_cost",4.46591087906891
"29",2029,"ncl_costing",1.09825773475189
"30",2029,"proc_cost",2.88407114857524
"31",2030,"cl_costing",8.705471957837
"32",2030,"dc_cost",3.30277897420351
"33",2030,"in_cost",4.16157064499299
"34",2030,"ncl_costing",1.02341432091741
"35",2030,"proc_cost",2.68752918609166
"36",2031,"cl_costing",8.87958139699375
"37",2031,"dc_cost",3.36883455368758
"38",2031,"in_cost",4.24480205789285
"39",2031,"ncl_costing",1.04388260733575
"40",2031,"proc_cost",2.74127976981349
"41",2032,"cl_costing",9.05717302493363
"42",2032,"dc_cost",3.43621124476133
"43",2032,"in_cost",4.32969809905071
"44",2032,"ncl_costing",1.06476025948247
"45",2032,"proc_cost",2.79610536520976
"46",2033,"cl_costing",9.2383164854323
"47",2033,"dc_cost",3.50493546965656
"48",2033,"in_cost",4.41629206103173
"49",2033,"ncl_costing",1.08605546467212
"50",2033,"proc_cost",2.85202747251396
"51",2034,"cl_costing",1.55758391534148
"52",2034,"dc_cost",0.590933545138384
"53",2034,"in_cost",0.744588636962181
"54",2034,"ncl_costing",0.183109392886625
"55",2034,"proc_cost",0.480852991376153
