"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"1",1,"C_999",1458282.14779604,3274177.44132806,588558.534903743,3237871.66588255,906029.388337809,3826430.20078629,217754.576437169,48725.6778323318,2024-03-01
"2",2,"C_999",1461285.97025573,3280921.71077561,589770.869120863,3244541.15137703,907895.660533451,3834312.02049789,218203.115211638,48826.0447508035,2024-04-01
"3",3,"C_999",1464295.98009788,3287679.87231398,590985.700547975,3251224.37491963,909765.776944251,3842210.07546761,218652.577902544,48926.6184086942,2024-05-01
"4",4,"C_999",1467312.19006747,3294451.9545586,592203.034328922,3257921.36480849,911639.745488662,3850124.39913741,219102.966413002,49027.3992318532,2024-06-01
"5",5,"C_999",1470334.61293575,3301237.98618386,593422.875618144,3264632.14940002,913517.57410145,3858055.02501816,219554.28265005,49128.387647007,2024-07-01
"6",6,"C_999",1473363.26150028,3308037.99592318,594645.229580696,3271356.75710905,915399.270733723,3866001.98668974,220006.528524652,49229.5840817612,2024-08-01
"7",7,"C_999",1476398.14858498,3314852.0125692,595870.101392276,3278095.21640894,917284.843352968,3873965.31780121,220459.705951709,49330.9889646021,2024-09-01
"8",8,"C_999",1479439.28704016,3321680.06497385,597097.496239238,3284847.55583169,919174.299943083,3881945.05207093,220913.816850067,49432.6027248986,2024-10-01
"9",9,"C_999",1482486.68974264,3328522.1820485,598327.419318624,3291613.8039681,921067.648504413,3889941.22328672,221368.863142524,49534.4257929041,2024-11-01
"10",10,"C_999",1485540.36959573,3335378.39276406,599559.875838178,3298393.98946783,922964.897053781,3897953.86530601,221824.846755839,49636.4585997581,2024-12-01
"11",11,"C_999",1488600.33952934,3342248.72615113,600794.871016372,3305188.14103957,924866.053624525,3905983.01205594,222281.769620739,49738.7015774884,2025-01-01
"12",12,"C_999",1491666.6125,3349133.21130009,602032.410082427,3311996.28745113,926771.126266527,3914028.69753356,222739.633671929,49841.1551590126,2025-02-01
"13",13,"C_999",1494739.20149094,3356031.87736126,603272.498276336,3318818.45752961,928680.123046253,3922090.95580594,223198.440848098,49943.81977814,2025-03-01
"14",14,"C_999",1497818.11951213,3362944.753545,604515.140848884,3325654.68016145,930593.052046786,3930169.82101034,223658.193091929,50046.6958695735,2025-04-01
"15",15,"C_999",1500903.37960032,3369871.86912183,605760.343061673,3332504.98429262,932509.921367856,3938265.3273543,224118.892350107,50149.7838689115,2025-05-01
"16",16,"C_999",1503994.99481915,3376813.25342257,607008.110187144,3339369.3989287,934430.739125877,3946377.50911584,224580.540573327,50253.0842126494,2025-06-01
"17",17,"C_999",1507092.97825915,3383768.93583845,608258.447508597,3346247.95313501,936355.513453985,3954506.40064361,225043.139716301,50356.5973381821,2025-07-01
"18",18,"C_999",1510197.34303779,3390738.94582126,609511.360320213,3353140.67603677,938284.252502064,3962652.03635698,225506.691737768,50460.3236838052,2025-08-01
"19",19,"C_999",1513308.1022996,3397723.31288343,610766.853927082,3360047.59681915,940216.96443679,3970814.45074624,225971.198600501,50564.263688717,2025-09-01
"20",20,"C_999",1516425.26921616,3404722.0665982,612024.933645218,3366968.74472748,942153.657441659,3978993.6783727,226436.662271318,50668.417793021,2025-10-01
"21",21,"C_999",1519548.8569862,3411735.23659971,613285.604801589,3373904.1490673,944094.339717022,3987189.75386889,226903.084721087,50772.7864377266,2025-11-01
"22",22,"C_999",1522678.87883562,3418762.85258316,614548.872734132,3380853.83920452,946039.019480125,3995402.71193865,227370.467924735,50877.370064752,2025-12-01
"23",23,"C_999",1525815.34801757,3425804.9443049,615814.74279178,3387817.84456555,947987.704965136,4003632.58735733,227838.813861257,50982.1691169256,2026-01-01
"24",24,"C_999",1528958.2778125,3432861.54158259,617083.220334487,3394796.19463741,949940.404423188,4011879.41497189,228308.124513727,51087.1840379879,2026-02-01
"25",25,"C_999",1532107.68152821,3439932.67429529,618354.310733243,3401788.91896784,951897.126122409,4020143.22970109,228778.4018693,51192.4152725935,2026-03-01
"26",26,"C_999",1535263.57249993,3447018.37238362,619628.019370105,3408796.04716548,953857.878347954,4028424.06653559,229249.647919227,51297.8632663128,2026-04-01
"27",27,"C_999",1538425.96409033,3454118.66584987,620904.351638214,3415817.60889993,955822.669402051,4036721.96053815,229721.864658859,51403.5284656342,2026-05-01
"28",28,"C_999",1541594.86968963,3461233.58475812,622183.312941822,3422853.63390191,957791.507604023,4045036.94684373,230195.05408766,51509.4113179656,2026-06-01
"29",29,"C_999",1544770.30271562,3468363.15923441,623464.908696311,3429904.15196339,959764.401290333,4053369.0606597,230669.218209208,51615.5122716366,2026-07-01
"30",30,"C_999",1547952.27661373,3475507.41946679,624749.144328217,3436969.19293768,961741.358814615,4061718.3372659,231144.359031211,51721.8317759002,2026-08-01
"31",31,"C_999",1551140.80485709,3482666.39570551,626036.025275258,3444048.78673963,963722.388547709,4070084.81201489,231620.478565514,51828.3702809349,2026-09-01
"32",32,"C_999",1554335.90094656,3489840.11826315,627325.556986348,3451142.96334566,965707.498877699,4078468.52033201,232097.578828101,51935.1282378464,2026-10-01
"33",33,"C_999",1557537.57841085,3497028.6175147,628617.744921628,3458251.75279398,967696.698209947,4086869.4977156,232575.661839114,52042.1060986697,2026-11-01
"34",34,"C_999",1560745.85080651,3504231.92389773,629912.594552484,3465375.18518463,969689.994967126,4095287.77973711,233054.729622853,52149.3043163707,2026-12-01
"35",35,"C_999",1563960.731718,3511450.06791252,631210.111361574,3472513.29067968,971687.397589263,4103723.40204126,233534.784207788,52256.7233448486,2027-01-01
"36",36,"C_999",1567182.23475781,3518683.08012215,632510.300842848,3479666.09950334,973688.914533767,4112176.40034619,234015.827626569,52364.3636389375,2027-02-01
"37",37,"C_999",1570410.37356641,3525930.99115266,633813.168501573,3486833.64194204,975694.554275467,4120646.81044361,234497.861916032,52472.2256544082,2027-03-01
"38",38,"C_999",1573645.16181242,3533193.8316932,635118.719854357,3494015.94834462,977704.325306652,4129134.66819897,234980.889117207,52580.3098479705,2027-04-01
"39",39,"C_999",1576886.61319259,3540471.63249611,636426.960429169,3501213.04912243,979718.236137101,4137640.0095516,235464.911275331,52688.616677275,2027-05-01
"40",40,"C_999",1580134.74143187,3547764.42437707,637737.895765367,3508424.97474945,981736.295294122,4146162.87051482,235949.930439851,52797.1466009147,2027-06-01
"41",41,"C_999",1583389.56028351,3555072.23821526,639051.531413717,3515651.75576246,983758.51132259,4154703.28717618,236435.948664438,52905.9000784274,2027-07-01
"42",42,"C_999",1586651.08352907,3562395.10495345,640367.872936422,3522893.42276112,985784.892784979,4163261.29569754,236922.968006991,53014.8775702976,2027-08-01
"43",43,"C_999",1589919.32497851,3569733.05559814,641686.925907139,3530150.00640811,987815.4482614,4171836.93231525,237410.990529651,53124.0795379582,2027-09-01
"44",44,"C_999",1593194.29847023,3577086.12121972,643008.695911006,3537421.5374293,989850.18634964,4180430.23334031,237900.018298803,53233.5064437925,2027-10-01
"45",45,"C_999",1596476.01787112,3584454.33295256,644333.188544668,3544708.04661382,991889.115665194,4189041.23515849,238390.053385091,53343.1587511363,2027-11-01
"46",46,"C_999",1599764.49707667,3591837.72199517,645660.409416295,3552009.56481424,993932.244841303,4197669.97423053,238881.097863424,53453.0369242799,2027-12-01
"47",47,"C_999",1603059.75001095,3599236.31961033,646990.364145613,3559326.12294667,995979.582528994,4206316.48709228,239373.153812983,53563.1414284698,2028-01-01
"48",48,"C_999",1606361.79062675,3606650.15712519,648323.058363919,3566657.75199092,998031.13739711,4214980.81035483,239866.223317233,53673.4727299109,2028-02-01
"49",49,"C_999",1609670.63290557,3614079.26593147,649658.497714112,3574004.48299058,1000086.91813235,4223662.98070469,240360.308463932,53784.0312957684,2028-03-01
"50",50,"C_999",1612986.29085773,3621523.67748553,650996.687850715,3581366.34705323,1002146.93343932,4232363.03490394,240855.411345137,53894.8175941697,2028-04-01
"51",51,"C_999",1616308.7785224,3628983.42330851,652337.634439897,3588743.37535048,1004211.19204053,4241081.00979038,241351.534057214,54005.8320942068,2028-05-01
"52",52,"C_999",1619638.10996766,3636458.5349865,653681.3431595,3596135.59911819,1006279.70267647,4249816.94227769,241848.678700847,54117.0752659374,2028-06-01
"53",53,"C_999",1622974.2992906,3643949.04417064,655027.81969906,3603543.04965652,1008352.47410565,4258570.86935558,242346.847381048,54228.547580388,2028-07-01
"54",54,"C_999",1626317.3606173,3651454.98257728,656377.069759832,3610965.75833014,1010429.5151046,4267342.82808998,242846.042207166,54340.249509555,2028-08-01
"55",55,"C_999",1629667.30810297,3658976.38198809,657729.099054816,3618403.75656831,1012510.83446793,4276132.85562313,243346.265292892,54452.1815264071,2028-09-01
"56",56,"C_999",1633024.15593198,3666513.27425021,659083.91330878,3625857.07586503,1014596.44100838,4284940.98917381,243847.518756273,54564.3441048873,2028-10-01
"57",57,"C_999",1636387.9183179,3674065.69127637,660441.518258283,3633325.74777916,1016686.34355682,4293767.26603744,244349.804719718,54676.7377199147,2028-11-01
"58",58,"C_999",1639758.60950358,3681633.66504504,661801.919651702,3640809.80393459,1018780.55096233,4302611.72358629,244853.125310009,54789.3628473868,2028-12-01
"59",59,"C_999",1643136.24376122,3689217.22760058,663165.123249252,3648309.27602033,1020879.07209222,4311474.39926959,245357.482658307,54902.2199641815,2029-01-01
"60",60,"C_999",1646520.83539242,3696816.41105332,664531.134823016,3655824.19579068,1022981.91583204,4320355.3306137,245862.878900164,55015.3095481586,2029-02-01
"61",61,"C_999",1649912.39872821,3704431.24757976,665899.960156964,3663354.59506534,1025089.09108566,4329254.55522231,246369.31617553,55128.6320781625,2029-03-01
"62",62,"C_999",1653310.94812917,3712061.76942266,667271.605046982,3670900.50572955,1027200.6067753,4338172.11077653,246876.796628765,55242.1880340239,2029-04-01
"63",63,"C_999",1656716.49798546,3719708.00889121,668646.075300894,3678461.95973424,1029316.47184154,4347108.03503513,247385.322408644,55355.9778965619,2029-05-01
