"","t","i","a","s","open","completed","carried"
"1",0,0,NA,"C_999",993201,359746,NA
"2",1,0,NA,"C_999",983553,374474,NA
"3",2,0,NA,"C_999",1010264,407025,NA
"4",3,0,NA,"C_999",916063,386595,NA
"5",4,0,NA,"C_999",863301,345373,NA
"6",5,0,NA,"C_999",989123,371961,NA
"7",6,0,NA,"C_999",957908,378949,NA
"8",7,0,NA,"C_999",1014033,398936,NA
"9",8,0,NA,"C_999",758573,348315,NA
"10",9,0,NA,"C_999",1004877,324221,NA
"11",10,0,NA,"C_999",1012712,370841,NA
"12",11,0,NA,"C_999",1003324,415277,NA
"13",12,0,NA,"C_999",871285,332986,NA
"14",13,0,NA,"C_999",1078916,385094,NA
"15",14,0,NA,"C_999",1043502,356434,NA
"16",15,0,NA,"C_999",951629,367979,NA
"17",16,0,NA,"C_999",922254,370679,NA
"18",17,0,NA,"C_999",975109,355949,NA
"19",18,0,NA,"C_999",1019177,372924,NA
"20",19,0,NA,"C_999",1025680,399791,NA
"21",20,0,NA,"C_999",740764,331812,NA
"22",21,0,NA,"C_999",1082719,363381,NA
"23",22,0,NA,"C_999",1072383,384092,NA
"24",23,0,NA,"C_999",1082316,425476,NA
"25",24,0,NA,"C_999",974710,324250,NA
"26",25,0,NA,"C_999",1064852,376461,NA
"27",26,0,NA,"C_999",1091577,406544,NA
"28",27,0,NA,"C_999",1072983,388922,NA
"29",28,0,NA,"C_999",968731,380561,NA
"30",29,0,NA,"C_999",1026556,365309,NA
"31",30,0,NA,"C_999",1060307,381839,NA
"32",31,0,NA,"C_999",1073154,394847,NA
"33",32,0,NA,"C_999",813695,328912,NA
"34",33,0,NA,"C_999",1104645,368312,NA
"35",34,0,NA,"C_999",1088601,384931,NA
"36",35,0,NA,"C_999",985469,371418,NA
"37",0,1,NA,"C_999",876103,244599,NA
"38",1,1,1,"C_999",1014316,238900,754301
"39",2,1,1,"C_999",1024990,277332,706221
"40",3,1,1,"C_999",1085840,249810,760454
"41",4,1,1,"C_999",1027831,223258,692805
"42",5,1,1,"C_999",950987,231647,631654
"43",6,1,1,"C_999",1081351,231448,757675
"44",7,1,1,"C_999",1053472,273411,684497
"45",8,1,1,"C_999",1108072,230104,783929
"46",9,1,1,"C_999",781973,227520,531053
"47",10,1,1,"C_999",1069785,205434,799443
"48",11,1,1,"C_999",1100355,272409,740303
"49",12,1,1,"C_999",1125477,223935,779389
"50",13,1,1,"C_999",972926,231758,639527
"51",14,1,1,"C_999",1065810,232442,846474
"52",15,1,1,"C_999",1149049,217674,825828
"53",16,1,1,"C_999",1102911,235063,716566
"54",17,1,1,"C_999",1032882,229385,692869
"55",18,1,1,"C_999",1075012,225583,749526
"56",19,1,1,"C_999",1099590,260359,758818
"57",20,1,1,"C_999",1140897,213448,812232
"58",21,1,1,"C_999",845527,231497,509267
"59",22,1,1,"C_999",1154925,212988,869731
"60",23,1,1,"C_999",1175219,268156,804227
"61",24,1,1,"C_999",1148259,225177,857139
"62",25,1,1,"C_999",1092569,238586,736124
"63",26,1,1,"C_999",1167816,255957,808895
"64",27,1,1,"C_999",1197072,249481,842096
"65",28,1,1,"C_999",1170678,252470,820513
"66",29,1,1,"C_999",1079537,238897,729834
"67",30,1,1,"C_999",1158156,253275,773281
"68",31,1,1,"C_999",1139846,270176,790131
"69",32,1,1,"C_999",1187575,212512,860642
"70",33,1,1,"C_999",894311,253723,559972
"71",34,1,1,"C_999",1189788,227868,876777
"72",35,1,1,"C_999",1190171,248842,839759
"73",0,2,NA,"C_999",699421,129924,NA
"74",1,2,0.954002508206495,"C_999",696045,146498,729605
"75",2,2,0.942329703698655,"C_999",801883,163358,850958
"76",3,2,0.96439302867165,"C_999",830299,164035,860955
"77",4,2,0.93923814498377,"C_999",881104,147735,938105
"78",5,2,0.961406033018246,"C_999",824547,170184,857647
"79",6,2,0.97300138409517,"C_999",777504,151909,799078
"80",7,2,0.934787332819692,"C_999",851724,170209,911142
"81",8,2,0.973889487935733,"C_999",886927,142766,910706
"82",9,2,0.936086643887631,"C_999",881334,166563,941509
"83",10,2,0.978924857796136,"C_999",628505,139937,642036
"84",11,2,0.963752943401888,"C_999",886512,149931,919854
"85",12,2,0.978299283032109,"C_999",933997,145640,954715
"86",13,2,0.966851374588506,"C_999",919874,174065,951412
