"","i","s","a"
"1",0,"C_999",1
"2",1,"C_999",0.97381947283562
"3",2,"C_999",0.9732489106957
"4",3,"C_999",0.953028919338397
"5",4,"C_999",0.928150693155893
"6",5,"C_999",0.957041802068256
"7",6,"C_999",0.967080674086262
"8",7,"C_999",0.968935504667243
"9",8,"C_999",0.96304525546464
"10",9,"C_999",0.949292719054273
"11",10,"C_999",0.96148944592118
"12",11,"C_999",0.967585967457006
"13",12,"C_999",0.938659767015432
"14",13,"C_999",0.957295636370081
"15",14,"C_999",0.96710160209464
"16",15,"C_999",0.967614572853891
"17",16,"C_999",0.970085087636677
"18",17,"C_999",0.970058752321521
"19",18,"C_999",0.980184722901632
"20",19,"C_999",0.957717046380369
"21",20,"C_999",0.97492275177781
"22",21,"C_999",0.999467518636848
"23",22,"C_999",1
"24",23,"C_999",1
"25",24,"C_999",1
"26",25,"C_999",1
"27",26,"C_999",0.97
