"","i","s","c"
"1",0,"C_999",0.271369268570429
"2",1,"C_999",0.179445541439858
"3",2,"C_999",0.148216353712741
"4",3,"C_999",0.135330564642808
"5",4,"C_999",0.131016938373153
"6",5,"C_999",0.12473493767232
"7",6,"C_999",0.122816105944788
"8",7,"C_999",0.123726562009137
"9",8,"C_999",0.119213202988227
"10",9,"C_999",0.121782920287656
"11",10,"C_999",0.125660441768626
"12",11,"C_999",0.133829787234043
"13",12,"C_999",0.138347884486232
"14",13,"C_999",0.156770747007
"15",14,"C_999",0.146448006515381
"16",15,"C_999",0.158391249313367
"17",16,"C_999",0.16166353971232
"18",17,"C_999",0.16552659148333
"19",18,"C_999",0.184359050525236
"20",19,"C_999",0.201584339414251
"21",20,"C_999",0.216216216216216
"22",21,"C_999",0.234591997597778
"23",22,"C_999",0.274515927545284
"24",23,"C_999",0.285690432459509
"25",24,"C_999",0.34848218985787
"26",25,"C_999",0.419399860432659
"27",26,"C_999",0.590296495956873
"28",NA,"C_999",NA
