"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"1",1,"C_999",1466963.93263322,3293670.03685035,592062.478617134,3257148.11740881,911423.37345763,3849210.59602594,219050.96368486,49015.7628831743,2024-04-01
"2",2,"C_999",1474104.45375285,3309702.14230027,594944.372669645,3273002.45056911,915859.77281437,3867946.82323875,220117.205326983,49254.349587507,2024-05-01
"3",3,"C_999",1481279.73172009,3325812.28483414,597840.294487181,3288933.95549774,920317.766569308,3886774.24998492,221188.636954214,49494.0976246873,2024-06-01
"4",4,"C_999",1488489.93571565,3342000.84430141,600750.312350597,3304943.0078322,924797.459834267,3905693.3201828,222265.283829068,49735.0126475615,2024-07-01
"5",5,"C_999",1495735.23574375,3358268.20240047,603674.494873109,3321029.9850384,929298.958232712,3924704.47991151,223347.171337027,49977.1003364914,2024-08-01
"6",6,"C_999",1503015.8026361,3374614.74268764,606612.911001912,3337195.2664196,933822.36790223,3943808.17742151,224434.324987136,50220.3663994885,2024-09-01
"7",7,"C_999",1510331.80805594,3391040.85058622,609565.630019804,3353439.23312532,938367.795497042,3963004.86314512,225526.77041261,50464.8165723481,2024-10-01
"8",8,"C_999",1517683.4245021,3407546.9133956,612532.72154682,3369762.26816036,942935.348190514,3982294.98970718,226624.533371431,50710.4566187848,2024-11-01
"9",9,"C_999",1525070.82531305,3424133.32030033,615514.255541877,3386164.75639382,947525.13367768,4001679.01193569,227727.639746964,50957.2923305683,2024-12-01
"10",10,"C_999",1532494.18467099,3440800.46237936,618510.302304416,3402647.08456815,952137.26017779,4021157.38687256,228836.115548559,51205.3295276603,2025-01-01
"11",11,"C_999",1539953.67760597,3457548.73261525,621520.932476069,3419209.6413083,956771.836436852,4040730.57378437,229949.986912168,51454.5740583513,2025-02-01
"12",12,"C_999",1547449.48,3474378.52590339,624546.217042315,3435852.81713087,961428.971730205,4060399.03417319,231069.280100963,51705.0317993985,2025-03-01
"13",13,"C_999",1554981.76859121,3491290.23906137,627586.227334162,3452577.00445334,966108.775865088,4080163.2317875,232194.021505952,51956.7086561647,2025-04-01
"14",14,"C_999",1562550.72097802,3508284.27083829,630641.035029824,3469382.59760325,970811.359183233,4100023.63263308,233324.237646602,52209.6105627574,2025-05-01
"15",15,"C_999",1570156.51562329,3525361.02192419,633710.712156412,3486269.99282761,975536.832563466,4119980.70498402,234459.955171467,52463.7434821685,2025-06-01
