"","year(date)","type","cost"
"1",2024,"cl_costing",4.30439314182413
"2",2024,"dc_cost",1.51173246229702
"3",2024,"in_cost",1.83440370189249
"4",2024,"ncl_costing",0.456413787573079
"5",2024,"proc_cost",1.23792350047401
"6",2025,"cl_costing",6.03976690452663
"7",2025,"dc_cost",2.12120765772123
"8",2025,"in_cost",2.57396813050774
"9",2025,"ncl_costing",0.640423120780579
"10",2025,"proc_cost",1.73700894461749
"11",2026,"cl_costing",6.40215291879823
"12",2026,"dc_cost",2.24848011718451
"13",2026,"in_cost",2.72840621833821
"14",2026,"ncl_costing",0.678848508027413
"15",2026,"proc_cost",1.84122948129454
"16",2027,"cl_costing",6.78628209392613
"17",2027,"dc_cost",2.38338892421558
"18",2027,"in_cost",2.8921105914385
"19",2027,"ncl_costing",0.719579418509058
"20",2027,"proc_cost",1.95170325017221
"21",2028,"cl_costing",7.19345901956169
"22",2028,"dc_cost",2.52639225966851
"23",2028,"in_cost",3.06563722692481
"24",2028,"ncl_costing",0.762754183619602
"25",2028,"proc_cost",2.06880544518254
"26",2029,"cl_costing",7.14572960932856
"27",2029,"dc_cost",2.50962936267506
"28",2029,"in_cost",3.0452963788805
"29",2029,"ncl_costing",0.757693223761762
"30",2029,"proc_cost",2.05507868820553
"31",2030,"cl_costing",7.21352736490067
"32",2030,"dc_cost",2.53344040051298
"33",2030,"in_cost",3.07418975588017
"34",2030,"ncl_costing",0.76488211877903
"35",2030,"proc_cost",2.07457700820948
"36",2031,"cl_costing",7.4155061311179
"37",2031,"dc_cost",2.60437673172734
"38",2031,"in_cost",3.16026706904481
"39",2031,"ncl_costing",0.786298818104843
"40",2031,"proc_cost",2.13266516443935
"41",2032,"cl_costing",7.62314030278921
"42",2032,"dc_cost",2.67729928021571
"43",2032,"in_cost",3.24875454697807
"44",2032,"ncl_costing",0.80831518501178
"45",2032,"proc_cost",2.19237978904365
"46",2033,"cl_costing",7.83658823126731
"47",2033,"dc_cost",2.75226366006175
"48",2033,"in_cost",3.33971967429346
"49",2033,"ncl_costing",0.830948010192111
"50",2033,"proc_cost",2.25376642313688
"51",2034,"cl_costing",8.05601270174281
"52",2034,"dc_cost",2.82932704254349
"53",2034,"in_cost",3.43323182517369
"54",2034,"ncl_costing",0.854214554477491
"55",2034,"proc_cost",2.31687188298471
"56",2035,"cl_costing",2.04900449213682
"57",2035,"dc_cost",0.719624463680604
"58",2035,"in_cost",0.873224471307763
"59",2035,"ncl_costing",0.217264982588022
"60",2035,"proc_cost",0.589284187066161
