"","date","ideal_pathways","base_pathways","flat_pathways","ideal_cost","base_cost","flat_cost"
"1",2024-04-01,1464402.27057478,1461670.39577476,1459858,1016487711.84136,1014591431.54986,1013333390.59278
"2",2024-05-01,1468960.68663155,1463485.04161661,1459858,1019651851.91426,1015851034.34935,1013333390.59278
"3",2024-06-01,1473533.29220262,1465301.94031899,1459858,1022825841.37568,1017112200.93024,1013333390.59278
"4",2024-07-01,1478120.13145734,1467121.09467878,1459858,1026009710.88496,1018374933.23394,1013333390.59278
"5",2024-08-01,1482721.24870255,1468942.50749637,1459858,1029203491.19689,1019639233.20429,1013333390.59278
"6",2024-09-01,1487336.68838304,1470766.1815756,1459858,1032407213.16198,1020905102.78752,1013333390.59278
"7",2024-10-01,1491966.49508192,1472592.11972379,1459858,1035620907.72676,1022172543.93229,1013333390.59278
"8",2024-11-01,1496610.71352108,1474420.32475177,1459858,1038844605.93413,1023441558.58968,1013333390.59278
"9",2024-12-01,1501269.38856163,1476250.79947383,1459858,1042078338.92358,1024712148.71317,1013333390.59278
"10",2025-01-01,1505942.56520433,1478083.54670778,1459858,1045322137.93155,1025984316.25869,1013333390.59278
"11",2025-02-01,1510630.28859,1479918.5692749,1459858,1048576034.29173,1027258063.1846,1013333390.59278
"12",2025-03-01,1515332.604,1481755.87,1459858,1051840059.4353,1028533391.45167,1013333390.59278
"13",2025-04-01,1520049.55685662,1483595.45171138,1459858,1055114244.89133,1029810303.02311,1013333390.59278
"14",2025-05-01,1524781.19272355,1485437.31724086,1459858,1058398622.287,1031088799.86459,1013333390.59278
"15",2025-06-01,1529527.55730632,1487281.46942377,1459858,1061693223.34795,1032368883.94419,1013333390.59278
"16",2025-07-01,1534288.69645272,1489127.91109896,1459858,1064998079.89859,1033650557.23245,1013333390.59278
"17",2025-08-01,1539064.65615325,1490976.64510881,1459858,1068313223.86237,1034933821.70235,1013333390.59278
"18",2025-09-01,1543855.4825416,1492827.67429923,1459858,1071638687.26213,1036218679.32934,1013333390.59278
"19",2025-10-01,1548661.22189503,1494681.00151965,1459858,1074974502.22038,1037505132.09128,1013333390.59278
"20",2025-11-01,1553481.92063488,1496536.62962304,1459858,1078320700.95963,1038793181.96852,1013333390.59278
"21",2025-12-01,1558317.62532697,1498394.56146594,1459858,1081677315.80268,1040082830.94387,1013333390.59278
"22",2026-01-01,1563168.38268209,1500254.79990839,1459858,1085044379.17295,1041374081.00257,1013333390.59278
"23",2026-02-01,1568034.23955642,1502117.34781402,1459858,1088421923.59481,1042666934.13237,1013333390.59278
"24",2026-03-01,1572915.242952,1503982.20805,1459858,1091809981.69384,1043961392.32344,1013333390.59278
"25",2026-04-01,1577811.44001717,1505849.38348705,1459858,1095208586.1972,1045257457.56846,1013333390.59278
"26",2026-05-01,1582722.87804705,1507718.87699947,1459858,1098617769.9339,1046555131.86256,1013333390.59278
"27",2026-06-01,1587649.60448396,1509590.69146513,1459858,1102037565.83518,1047854417.20335,1013333390.59278
"28",2026-07-01,1592591.66691792,1511464.82976545,1459858,1105468006.93474,1049155315.59094,1013333390.59278
"29",2026-08-01,1597549.11308707,1513341.29478545,1459858,1108909126.36914,1050457829.02789,1013333390.59278
"30",2026-09-01,1602521.99087818,1515220.08941372,1459858,1112360957.37809,1051761959.51928,1013333390.59278
"31",2026-10-01,1607510.34832704,1517101.21654244,1459858,1115823533.30476,1053067709.07265,1013333390.59278
"32",2026-11-01,1612514.233619,1518984.67906739,1459858,1119296887.59609,1054375079.69805,1013333390.59278
"33",2026-12-01,1617533.6950894,1520870.47988793,1459858,1122781053.80318,1055684073.40803,1013333390.59278
"34",2027-01-01,1622568.78122401,1522758.62190702,1459858,1126276065.58153,1056994692.21761,1013333390.59278
"35",2027-02-01,1627619.54065957,1524649.10803123,1459858,1129781956.69141,1058306938.14435,1013333390.59278
"36",2027-03-01,1632686.02218418,1526541.94117075,1459858,1133298760.99821,1059620813.20829,1013333390.59278
"37",2027-04-01,1637768.27473782,1528437.12423936,1459858,1136826512.47269,1060936319.43198,1013333390.59278
"38",2027-05-01,1642866.34741284,1530334.66015446,1459858,1140365245.19139,1062253458.84049,1013333390.59278
"39",2027-06-01,1647980.28945435,1532234.5518371,1459858,1143914993.33691,1063572233.4614,1013333390.59278
"40",2027-07-01,1653110.1502608,1534136.80221193,1459858,1147475791.19826,1064892645.3248,1013333390.59278
"41",2027-08-01,1658255.97938438,1536041.41420723,1459858,1151047673.17117,1066214696.46331,1013333390.59278
"42",2027-09-01,1663417.82653155,1537948.39075492,1459858,1154630673.75846,1067538388.91206,1013333390.59278
"43",2027-10-01,1668595.74156347,1539857.73479058,1459858,1158224827.57034,1068863724.70874,1013333390.59278
"44",2027-11-01,1673789.77449653,1541769.4492534,1459858,1161830169.32474,1070190705.89352,1013333390.59278
"45",2027-12-01,1678999.9755028,1543683.53708624,1459858,1165446733.8477,1071519334.50915,1013333390.59278
"46",2028-01-01,1684226.39491053,1545600.00123562,1459858,1169074556.07362,1072849612.60088,1013333390.59278
"47",2028-02-01,1689469.08320463,1547518.8446517,1459858,1172713671.04569,1074181542.21652,1013333390.59278
"48",2028-03-01,1694728.09102718,1549440.07028831,1459858,1176364113.91614,1075515125.40642,1013333390.59278
"49",2028-04-01,1700003.46917786,1551363.68110295,1459858,1180025919.94665,1076850364.22346,1013333390.59278
"50",2028-05-01,1705295.26861452,1553289.68005678,1459858,1183699124.50867,1078187260.7231,1013333390.59278
"51",2028-06-01,1710603.54045362,1555218.07011466,1459858,1187383763.08372,1079525816.96332,1013333390.59278
"52",2028-07-01,1715928.33597071,1557148.85424511,1459858,1191079871.26379,1080866035.00467,1013333390.59278
"53",2028-08-01,1721269.70660099,1559082.03542033,1459858,1194787484.75168,1082207916.91026,1013333390.59278
"54",2028-09-01,1726627.70393975,1561017.61661624,1459858,1198506639.36128,1083551464.74574,1013333390.59278
"55",2028-10-01,1732002.37974288,1562955.60081243,1459858,1202237371.01801,1084896680.57937,1013333390.59278
"56",2028-11-01,1737393.7859274,1564895.9909922,1459858,1205979715.75908,1086243566.48192,1013333390.59278
"57",2028-12-01,1742801.9745719,1566838.79014254,1459858,1209733709.73391,1087592124.52678,1013333390.59278
"58",2029-01-01,1748226.99791713,1568784.00125415,1459858,1213499389.20442,1088942356.78989,1013333390.59278
"59",2029-02-01,1753668.90836641,1570731.62732147,1459858,1217276790.54542,1090294265.34976,1013333390.59278
"60",2029-03-01,1759127.75848621,1572681.67134263,1459858,1221065950.24495,1091647852.28751,1013333390.59278
"61",2029-04-01,1764603.60100662,1574634.13631949,1459858,1224866904.90463,1093003119.68681,1013333390.59278
"62",2029-05-01,1770096.48882188,1576589.02525763,1459858,1228679691.24,1094360069.63395,1013333390.59278
"63",2029-06-01,1775606.47499085,1578546.34116638,1459858,1232504346.0809,1095718704.21777,1013333390.59278
"64",2029-07-01,1781133.6127376,1580506.08705878,1459858,1236340906.37182,1097079025.52974,1013333390.59278
"65",2029-08-01,1786677.95545183,1582468.26595164,1459858,1240189409.17224,1098441035.66391,1013333390.59278
"66",2029-09-01,1792239.55668946,1584432.88086549,1459858,1244049891.65701,1099804736.71693,1013333390.59278
"67",2029-10-01,1797818.47017311,1586399.93482462,1459858,1247922391.11669,1101170130.78806,1013333390.59278
"68",2029-11-01,1803414.74979264,1588369.43085708,1459858,1251806944.95793,1102537219.97915,1013333390.59278
"69",2029-12-01,1809028.44960563,1590341.37199467,1459858,1255703590.7038,1103906006.39468,1013333390.59278
"70",2030-01-01,1814659.62383798,1592315.76127297,1459858,1259612365.99419,1105276492.14174,1013333390.59278
"71",2030-02-01,1820308.32688433,1594292.6017313,1459858,1263533308.58615,1106648679.33001,1013333390.59278
"72",2030-03-01,1825974.61330869,1596271.89641277,1459858,1267466456.35426,1108022570.07182,1013333390.59278
"73",2030-04-01,1831658.53784487,1598253.64836428,1459858,1271411847.291,1109398166.48212,1013333390.59278
"74",2030-05-01,1837360.15539711,1600237.86063649,1459858,1275369519.50712,1110775470.67846,1013333390.59278
"75",2030-06-01,1843079.52104051,1602224.53628387,1459858,1279339511.23197,1112154484.78104,1013333390.59278
"76",2030-07-01,1848816.69002163,1604213.67836466,1459858,1283321860.81395,1113535210.91269,1013333390.59278
"77",2030-08-01,1854571.717759,1606205.28994091,1459858,1287316606.72079,1114917651.19887,1013333390.59278
"78",2030-09-01,1860344.65984366,1608199.37407847,1459858,1291323787.53998,1116301807.76768,1013333390.59278
"79",2030-10-01,1866135.57203969,1610195.93384699,1459858,1295343441.97913,1117687682.74988,1013333390.59278
"80",2030-11-01,1871944.51028476,1612194.97231994,1459858,1299375608.86633,1119075278.27884,1013333390.59278
"81",2030-12-01,1877771.53069065,1614196.49257459,1459858,1303420327.15055,1120464596.4906,1013333390.59278
"82",2031-01-01,1883616.68954382,1616200.49769206,1459858,1307477635.90197,1121855639.52386,1013333390.59278
"83",2031-02-01,1889480.04330594,1618206.99075726,1459858,1311547574.31243,1123248409.51996,1013333390.59278
"84",2031-03-01,1895361.64861442,1620215.97485896,1459858,1315630181.69573,1124642908.6229,1013333390.59278
"85",2031-04-01,1901261.56228298,1622227.45308974,1459858,1319725497.48806,1126039138.97935,1013333390.59278
"86",2031-05-01,1907179.8413022,1624241.42854604,1459858,1323833561.24839,1127437102.73863,1013333390.59278
"87",2031-06-01,1913116.54284005,1626257.90432813,1459858,1327954412.65879,1128836802.05275,1013333390.59278
"88",2031-07-01,1919071.72424245,1628276.88354013,1459858,1332088091.52488,1130238239.07638,1013333390.59278
"89",2031-08-01,1925045.44303384,1630298.36929002,1459858,1336234637.77618,1131641415.96685,1013333390.59278
"90",2031-09-01,1931037.75691772,1632322.36468965,1459858,1340394091.4665,1133046334.8842,1013333390.59278
"91",2031-10-01,1937048.7237772,1634348.87285469,1459858,1344566492.77434,1134452997.99112,1013333390.59278
"92",2031-11-01,1943078.40167558,1636377.89690474,1459858,1348751882.00325,1135861407.45302,1013333390.59278
"93",2031-12-01,1949126.84885689,1638409.43996321,1459858,1352950299.58227,1137271565.43796,1013333390.59278
"94",2032-01-01,1955194.12374649,1640443.50515744,1459858,1357161786.06625,1138683474.11672,1013333390.59278
"95",2032-02-01,1961280.28495156,1642480.09561862,1459858,1361386382.1363,1140097135.66276,1013333390.59278
"96",2032-03-01,1967385.39126176,1644519.21448185,1459858,1365624128.60016,1141512552.25224,1013333390.59278
"97",2032-04-01,1973509.50164973,1646560.86488609,1459858,1369875066.39261,1142929726.06404,1013333390.59278
"98",2032-05-01,1979652.67527168,1648605.04997423,1459858,1374139236.57583,1144348659.27971,1013333390.59278
"99",2032-06-01,1985814.97146797,1650651.77289305,1459858,1378416680.33982,1145769354.08354,1013333390.59278
"100",2032-07-01,1991996.44976366,1652701.03679323,1459858,1382707439.00282,1147191812.66252,1013333390.59278
"101",2032-08-01,1998197.16986913,1654752.84482937,1459858,1387011554.01167,1148616037.20635,1013333390.59278
"102",2032-09-01,2004417.19168059,1656807.20015999,1459858,1391329066.94223,1150042029.90746,1013333390.59278
"103",2032-10-01,2010656.57528073,1658864.10594751,1459858,1395660019.49976,1151469792.96099,1013333390.59278
"104",2032-11-01,2016915.38093925,1660923.5653583,1459858,1400004453.51938,1152899328.56481,1013333390.59278
"105",2032-12-01,2023193.66911346,1662985.58156266,1459858,1404362410.96639,1154330638.91953,1013333390.59278
"106",2033-01-01,2029491.50044885,1665050.1577348,1459858,1408733933.93676,1155763726.22847,1013333390.59278
"107",2033-02-01,2035808.93577972,1667117.2970529,1459858,1413119064.65748,1157198592.6977,1013333390.59278
