t,i,s,z
1,0,C_999,1752719.7819768232
2,1,C_999,195141.6354536449
2,0,C_999,1754895.762056525
3,2,C_999,82647.80789468523
3,1,C_999,298786.8211691084
3,0,C_999,1757074.4435887674
4,3,C_999,45825.922787093776
4,2,C_999,135298.0984161252
4,1,C_999,377067.47622559965
4,0,C_999,1759255.8299273695
5,4,C_999,28023.472396916557
5,3,C_999,77535.33454125257
5,2,C_999,179545.49716408688
5,1,C_999,439674.1615388754
5,0,C_999,1761439.924430316
6,5,C_999,17725.202944720266
6,4,C_999,48444.20593929809
6,3,C_999,105628.60346890496
6,2,C_999,217765.1872644613
6,1,C_999,491204.32383158826
6,0,C_999,1763626.73045976
7,6,C_999,11959.267492016195
7,5,C_999,31143.661150664077
7,4,C_999,67155.77376171533
7,3,C_999,130855.16609883659
7,2,C_999,251047.3365803886
7,1,C_999,533980.9166636104
7,0,C_999,1765816.2513820273
8,7,C_999,8206.728415669608
8,6,C_999,21264.858463914232
8,5,C_999,43755.03834593779
8,4,C_999,84394.86426256086
8,3,C_999,153497.83726718553
8,2,C_999,279965.3702531445
8,1,C_999,569955.67465088
8,0,C_999,1768008.4905676246
9,8,C_999,5733.275755326116
9,7,C_999,14741.725067842483
9,6,C_999,30173.66726882026
9,5,C_999,55602.14438447101
9,4,C_999,100182.3834912217
9,3,C_999,173657.55956552728
9,2,C_999,305158.25498107955
9,1,C_999,600387.5392505389
9,0,C_999,1770203.4513912424
10,9,C_999,3918.738924136509
10,8,C_999,10385.890645820911
10,7,C_999,21096.419434792177
10,6,C_999,38662.74685747227
10,5,C_999,66619.49748162164
10,4,C_999,114470.20742425864
10,3,C_999,191563.4781357673
10,2,C_999,327078.8196620015
10,1,C_999,626243.017598558
10,0,C_999,1772401.1372317604
11,10,C_999,2607.815718781855
11,9,C_999,7151.044999275023
11,8,C_999,14968.317721425321
11,7,C_999,27225.0641376423
11,6,C_999,46646.61743188422
11,5,C_999,76714.97284525618
11,4,C_999,127326.1118056949
11,3,C_999,207386.90631682696
11,2,C_999,346120.3966937283
11,1,C_999,648249.2248600568
11,0,C_999,1774601.5514722543
12,11,C_999,1706.8254442419634
12,10,C_999,4791.0399866377065
12,9,C_999,10369.534029337265
12,8,C_999,19431.189684203906
12,7,C_999,33043.40715198284
12,6,C_999,54028.469441187575
12,5,C_999,85887.07873418723
12,4,C_999,138802.7709042815
12,3,C_999,221297.62542892067
12,2,C_999,362601.04926956544
12,1,C_999,666943.9247840235
12,0,C_999,1776804.697499999
13,12,C_999,1060.158239981329
13,11,C_999,3155.28176544811
13,10,C_999,6986.4338860477565
13,9,C_999,13530.039203663217
13,8,C_999,23700.130237202135
13,7,C_999,38462.82255831515
13,6,C_999,60781.3865711897
13,5,C_999,94136.06786304848
13,4,C_999,148969.5829313563
13,3,C_999,233445.11057397866
13,2,C_999,376774.78307577455
13,1,C_999,682757.9424126451
13,0,C_999,1779010.5787064747
14,13,C_999,582.1278410103614
14,12,C_999,1971.7612206338133
14,11,C_999,4624.702838560207
14,10,C_999,9158.033248263742
14,9,C_999,16571.99153839507
14,8,C_999,27699.20991002245
14,7,C_999,43447.47084802703
14,6,C_999,66885.23619222295
14,5,C_999,101482.19389270036
14,4,C_999,157894.94228173833
14,3,C_999,243955.79489501848
14,2,C_999,388859.17840751953
14,1,C_999,696030.0685834214
14,0,C_999,1781219.198487372
15,14,C_999,284.99300860178573
15,13,C_999,1089.6679874155816
15,12,C_999,2904.2240297866747
15,11,C_999,6087.330607197049
15,10,C_999,11259.070855221016
15,9,C_999,19434.296317418037
15,8,C_999,31391.82514441823
15,7,C_999,47969.167030804245
15,6,C_999,72338.01499532473
15,5,C_999,107951.00216051913
15,4,C_999,165639.6087345547
15,3,C_999,252942.7686676789
15,2,C_999,399029.34345493687
15,1,C_999,707007.3807221253
15,0,C_999,1783430.5602425977
16,15,C_999,119.84288673957812
16,14,C_999,537.1632314546222
16,13,C_999,1613.1003742004457
16,12,C_999,3837.4896967493073
16,11,C_999,7508.271667462993
16,10,C_999,13242.64803225367
16,9,C_999,22084.150775139715
16,8,C_999,34748.5293047621
16,7,C_999,52015.1962160997
16,6,C_999,77144.91627151603
16,5,C_999,113567.73589929803
16,4,C_999,172261.6963479027
16,3,C_999,260499.8262332459
16,2,C_999,407416.1638128335
16,1,C_999,715877.8709952403
16,0,C_999,1785644.6673762794
17,16,C_999,32.25587468854119
17,15,C_999,227.46049339253958
17,14,C_999,799.3152798207628
17,13,C_999,2139.55200386131
17,12,C_999,4746.9839464561755
17,11,C_999,8852.664382551187
17,10,C_999,15081.605325551564
17,9,C_999,24494.85187595255
17,8,C_999,37752.7290308329
17,7,C_999,55580.4418150233
17,6,C_999,81314.07687971025
